key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
8,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah<Indent/>! Vous devez être l'aventuri<If(PlayerParameter(4))>ère<Else/>er</If> dont on m'a parlé... <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>, c'est ça<Indent/>? Bien, montrez-moi la marchandise...","Hmm... C'est du bon travail. Oui, j'aime beaucoup ce que vous avez fait. Je ne manquerai pas de faire à nouveau appel à vos services dans le futur. Tenez, voici votre récompense.","Pressez-vous, le Consortium de Brugaire est réputé pour la rapidité avec laquelle il honore ses commandes. Si vous ne pouvez pas fabriquer les objets que j'ai demandés, dites-le-moi et j'embaucherai quelqu'un d'autre. Comme vous pouvez le voir, les aventuriers ne manquent pas par ici.","Ho, ho... Beau travail... Excellent travail, dirais-je même. Que diriez-vous de m'en livrer un peu plus<Indent/>?","Non<Indent/>? Bon, tant pis... Je ferai avec ce que j'ai.","Merci, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Vous avez rendu un grand service au Consortium de Brugaire. J'espère que nous aurons l'occasion de travailler ensemble à nouveau."
9,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est très aimable à vous d'avoir accepté ma requête. Je suis moi-même initiée à plusieurs disciplines de la main, mais il y a encore des domaines pour lesquels je préfère faire appel à des artisans plus ex<SoftHyphen/>pé<SoftHyphen/>ri<SoftHyphen/>men<SoftHyphen/>tés.","Magnifique<Indent/>! C'est exactement ce que je voulais. Tenez, c'est votre récompense.","Et ma commande, alors<Indent/>? Ne me dites pas que vous l'avez perdue en cours de route<Indent/>!?","0","0","0"
10,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Aaah, enfin une livraison<Indent/>! Alors, voyons voir ce que nous avons là...","Ooh... Pas mal<Indent/>! Pas mal du tout<Indent/>! Oui, je devrais pouvoir en tirer un bon prix. Tiens, c'est ta récompense. N'hésite pas à accomplir d'autres mandats pour moi, j'aime beaucoup ce que tu fais.","T'es pas sympa de me faire des fausses joies, comme ça<Indent/>! J'ai besoin de cette marchandise le plus rapidement possible. Au cas où tu l'aurais pas remarqué, je roule pas sur l'or et chaque minute qui passe me rapproche un peu plus de la famine. Fais vite<Indent/>!","0","0","0"
11,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Salut, mousaillon<Indent/>! Alors, qu'est-ce que tu m'apporrrtes de beau, aujourd'hui<Indent/>?","Parrrfait, c'est exactement ce que je voulais. Si jamais tu te lasses du métier d'aventurier et que tu veux devenir marin, sache que tu es l<If(PlayerParameter(4))>a<Else/>e</If> bienvenu<If(PlayerParameter(4))>e<Else/></If> sur la Prrrincesse de glace.","Ça y est, tu te rappelles de ce que tu devais m'apporrrter<Indent/>? Bien, dans ce cas, dépêche-toi de me livrer<Indent/>! Plus tu me fais attendrrre, plus ta récompense diminue<Indent/>! Hé hé hé<Indent/>!","Par Llymlaen<Indent/>! Tu te débrouilles sacrément bien, dis donc<Indent/>! Dis, tu voudrrrais pas m'en livrer un peu plus<Indent/>? Je te paierai, bien sûr...","Comment ça “non”<Indent/>!? Tu sais à qui tu parrrles, petit<If(PlayerParameter(4))>e<Else/></If><Indent/>? Bon, tant pis... Je vais me contenter de ce que j'ai sous la main.","Alors là, chapeau... c'est de l'excellent boulot<Indent/>! Avec un<If(PlayerParameter(4))>e<Else/></If> artisan<If(PlayerParameter(4))>e<Else/></If> de ton calibrrre dans mon équipage, je suis sûr que la Princesse de glace deviendrait le navire de commerce numéro un dans la région<Indent/>! Penses-y et reviens me voir si le cœurrr t'en dit."
12,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoir<Else/>Bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjour<Else/>Bonsoir</If></If> aventuri<If(PlayerParameter(4))>ère<Else/>er</If>. Avez-vous les mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses que messire Gegeruju a commandées<Indent/>?","Merci. C'est un beau produit que vous m'avez livré. Je suis sûr que le seigneur en sera fort satisfait. Prenez soin de vous, et à bientôt j'espère.","Eh bien, n'avez-vous rien à me montrer<Indent/>? Ne me dites pas que vous n'avez pas encore commencé<Indent/>!? Je vous conseille de faire vite, le seigneur Gegeruju a <Emphasis>horreur</Emphasis> d'attendre<Indent/>!","Quel travail remarquable... Connaissant le seigneur, je suis persuadé qu'il apprécierait d'en avoir quelques exemplaires sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res. Que diriez-vous d'effectuer une nouvelle livraison<Indent/>? Bien sûr, vous serez généreusement récompensé<If(PlayerParameter(4))>e<Else/></If>. Vous le savez, l'argent n'est pas un problème chez nous. Ho ho ho<Indent/>!","Quel dommage... Enfin, j'imagine que vous avez d'autres coeurls à fouetter.","Parfait<Indent/>! Messire Gegeruju sera aux anges. Après tout, c'est un homme dont la devise est<Indent/>: “Pourquoi se contenter d'un arbre quand on peut avoir toute une forêt<Indent/>?”. Continuez à mettre votre talent au service du seigneur et, bientôt, vous serez aussi riche que lui<Indent/>! Enfin... presque. Ho ho ho<Indent/>!"
13,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoir<Else/>Bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjour<Else/>Bonsoir</If></If> aventuri<If(PlayerParameter(4))>ère<Else/>er</If>. C'est pour une livraison ou un enlèvement<Indent/>?","Une livraison<Indent/>? Signez ici, je vous prie. Merci, et bonne journée. Au suivant<Indent/>!","Je suis désolé, mais je ne peux pas signer votre contrat tant que vous n'avez pas livré les mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses. Au suivant<Indent/>!","Les affaires marchent fort en ce moment et j'aimerais en profiter pour renflouer nos stocks. Que diriez-vous de prolonger votre contrat avec nous<Indent/>? Bien sûr, vous serez récompensé<If(PlayerParameter(4))>e<Else/></If> comme il se doit.","Vous n'êtes pas intéressé<If(PlayerParameter(4))>e<Else/></If><Indent/>? Tant pis, alors... Au suivant<Indent/>!","C'est pour...<Indent/>? Ah, je vous reconnais. Une livraison, donc. Signez ici, je vous prie. Merci, et bonne journée<Indent/>!"
14,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoir, bonsoir<Else/>Bonjour, bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjour, bonjour<Else/>Bonsoir, bonsoir</If></If><Indent/>! C'est pour une livraison, j'imagine<Indent/>? Montrez-moi ce que vous avez.","Hmm... Oui, je pense que ça fera l'affaire. Tenez, c'est pour vous. Au plaisir de vous revoir<Indent/>!","Comment voulez-vous que je procède au contrôle des mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses si vous venez les mains vides<Indent/>!? Si vous n'êtes pas capable de fabriquer les produits que j'ai commandés, dites-le tout de suite et ne me faites pas perdre mon temps.","0","0","0"
15,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Une livraison, vous dites<Indent/>? Montrez-moi la marchandise, que je l'inspecte.","Oui, c'est bien ce que j'avais commandé. Merci, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>.","Il faudrait savoir<Indent/>: vous avez quelque chose pour moi, oui ou non<Indent/>? Si vous cherchez juste à enquiquiner quelqu'un, allez voir mon collègue Gigiyon, au rond-point des Scorpions<Indent/>!","0","0","0"
16,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Une livraison, tu dis<Indent/>? Ha<Indent/>! On ne me la fait pas, à moi<Indent/>! C'est les Amalj'aa qui t'envoient, c'est ça<Indent/>!?","Oups<Indent/>! C'est bien le produit que j'avais commandé. Je me sens un peu idiote maintenant... Enfin, avec tous ces escrocs qui traînent, on n'est jamais trop prudent. Merci encore et... désolée pour la méprise.","Ha<Indent/>! J'en étais sûre<Indent/>! Tu ne manques pas de toupet pour t'aventurer dans ce camp. Je vais être gentille et te laisser la vie sauve... pour cette fois. Mais ne t'avise pas de remettre les pieds ici, sinon je te dénoncerai aux autorités<Indent/>!","Maintenant que je sais que tu es un<If(PlayerParameter(4))>e<Else/></If> artisan<If(PlayerParameter(4))>e<Else/></If> digne de confiance, j'aimerais te demander un petit service... Rien de compliqué, rassure-toi. Je voudrais juste que tu me fabriques quelques objets en plus, histoire de réapprovisionner mes stocks de mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses.","Tu refuses<Indent/>? C'est juste une petite commande de rien du tout. Un<If(PlayerParameter(4))>e<Else/></If> artisan<If(PlayerParameter(4))>e<Else/></If> digne de ce nom ne laisserait jamais un client dans l'embarras. Hmm... Je commence à douter de ton honnêteté, tout à coup.","Merci<Indent/>! Merci mille fois<Indent/>! C'est tellement rassurant de savoir qu'il existe des gens honnêtes dans ce bas monde."
17,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"0","0","0","0","0","0"
18,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Voilà donc le fameux envoyé de la guilde des aventuriers que j'attendais... Tu as du courage de venir travailler dans un endroit aussi froid.","Voyons voir ça... Oui, il y a bien tout ce que j'ai commandé. Brrr, décidément, qu'est-ce qu'il fait froid par ici...","Non, ça ne va pas. Tu dois m'apporter ce que j'ai demandé, c'est pourtant simple<Indent/>! Tu as de la chance que j'ai l'habitude d'attendre dans le froid. Brrr...","Pas de doute, tout y est. En fait, ça serait encore mieux s'il y en avait un peu plus<Indent/>! Tu crois que tu peux faire ça pour me rendre service<Indent/>?","Pas de problème, je comprends très bien. Qui aurait envie de faire du zèle avec une température pareille, après tout<Indent/>?","Ça alors, merci beaucoup<Indent/>! Ça valait le coup d'attendre ici, sous cette neige glaciale... Je crois que je vais m'acheter une épaisseur de fourrure sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re pour la prochaine fois."
19,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est bien toi l'aventuri<If(PlayerParameter(4))>ère<Else/>er</If> qu'on envoie pour ma requête<Indent/>?","Hum, oui, c'est vraiment pas mal du tout. J'ai bien fait de m'adresser à la guilde des aventuriers, finalement. ","Avec tous les frais que j'ai payés à la guilde, j'espérais qu'on me fasse parvenir mon dû aussitôt. Dépêche-toi, je n'ai pas que ça à faire.","Tu travailles bien, dis donc. Si ça t'intéresse, j'ai encore du travail pour toi. Bien sûr, il y a une récompense à la clef<Indent/>!","Si tu es occupé<If(PlayerParameter(4))>e<Else/></If>... Pas grave, je demanderai à quelqu'un d'autre.","Tu me rends un immense service<Indent/>! Avec tout ce que tu m'as apporté, ça devrait permettre à ma bourse de retrouver des couleurs."
20,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"<If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>Bonsoir<Else/>Bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>Bonjour<Else/>Bonsoir</If></If>, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>, je vous attendais.","Je vois que vous apportez tout ce dont j'avais besoin. Au nom de la Trouvaille de Saint-Coinach, permettez-moi de vous remercier.","Vous souvenez-vous des articles dont j'ai fait la demande<Indent/>? Ils sont très importants pour nos recherches ici, vous savez.","Très bien, on dirait que tout y est. Au fait, si vous avez un peu de temps devant vous, puis-je vous demander un autre service<Indent/>?","Ah, pardonnez-moi. Vous devez être très occupé<If(PlayerParameter(4))>e<Else/></If>, et je ne voudrais surtout pas vous déranger. Une autre fois, peut-être.","Ça alors, vous êtes l<If(PlayerParameter(4))>a bienfaitrice<Else/>e bienfaiteur</If> de la Trouvaille de Saint-Coinach<Indent/>! Merci beaucoup."
21,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Tu es l<If(PlayerParameter(4))>a pêcheuse<Else/>e pêcheur</If> que la guilde des aventuriers m'envoie<Indent/>? Fais donc voir ce que tu rapportes.","C'est exactement ce qu'il me faut<Indent/>! Avec ça, je vais préparer un plat original dont j'ai le secret. Merci à toi, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>.","Alors, qu'est-ce que tu attends<Indent/>? La fraîcheur est tout pour les fruits de mer, et c'est pareil pour ma requête, compris<Indent/>?","Tiens, pendant que je t'ai sous la main... Tu accepterais une petite requête sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re<Indent/>?","Tant pis. Tu dois avoir tes raisons je suppose... Je trouverai quelqu'un d'autre à qui m'adresser, ne t'en fais pas.","Voilà ce que j'appelle du travail bien fait<Indent/>! Avec tout ça, je vais pouvoir laisser libre court à mon imagination culinaire. Merci<Indent/>!"
22,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Salut, aventurrri<If(PlayerParameter(4))>ère<Else/>er</If><Indent/>! Alors, tu m'apportes ces délicieux petits poissons<Indent/>?","Oh, tu l'as vrrraiment fait<Indent/>! À ta place, j'en aurais avalé la moitié en route, héhé. Tiens, voilà ta récompense<Indent/>!","Quoi, tu vas te mettre à les pêcher maintenant<Indent/>? Bon, au moins comme ça ils seront de la première frrraîcheur...","C'est excellent<Indent/>! Vu comme tu t'en sorrrs bien, j'aurais presque envie de t'en demander encorrre plus... Qu'en dis-tu<Indent/>?","Ah bon... Je suppose que tu dois t'en aller pêcher dans d'autres eaux. Tant pis, une prrrochaine fois<Indent/>!","Mille merrrcis<Indent/>! Voici la récompense promise, avec un petit supplément. À bientôt, aventurrri<If(PlayerParameter(4))>ère<Else/>er</If><Indent/>!"
23,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Que fait donc ce pêcheur que la guilde des aventuriers m'a envoyé... Ah, c'est vous<Indent/>? J'avais hâte de vous rencontrer<Indent/>!","Vous avez vraiment été pêcher tout ça pour moi<Indent/>? Comme c'est gentil<Indent/>! Merci, merci<Indent/>!","Vous n'avez pas encore mes poissons<Indent/>? Ça n'est pas grave, je vous attendrai ici le temps qu'il faudra, hihi.","Vous alors, vous êtes quelqu'un sur qui on peut compter<Indent/>! J'aimerais vous en demander encore plus... C'est possible<Indent/>?","Oh, quel dommage... Mais ça n'est pas grave, je suis déjà tellement contente d'avoir pu faire votre con<SoftHyphen/>nais<SoftHyphen/>san<SoftHyphen/>ce<Indent/>!","Oh<Indent/>! Tout ça, vraiment<Indent/>? Je ne sais pas comment vous remercier... Tenez, ça vient du fond du cœur<Indent/>!"
24,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Vous venez de la part de la guilde des aventuriers<Indent/>? Oh... C'est donc à ça que ressemble un<If(PlayerParameter(4))>e<Else/></If> vérrritable pêcheu<If(PlayerParameter(4))>se<Else/>r</If>...","Merci, je ne sais pas comment j'aurrrais fait, sans vous<Indent/>! Enfin si, je sais... J'aurais été la risée de tout le hameau.","Dites, vous ne voudriez pas vous dépêcher un peu<Indent/>? C'est que ça va commencer à se voir, que je passe la journée à me tourrrner les pouces.","Hé, c'est que vous savez y fairrre<Indent/>! Ça vous embêterait de m'en apporter un peu plus<Indent/>? Ça ferait meilleur effet, vous voyez.","Bien sûr, les choses ne se passent pas toujourrrs comme on veut... Bah, j'ai l'habitude d'être méprisée, ça ne me fait plus rien<Indent/>!","Voilà ce que j'appelle une affaire rrrondement menée<Indent/>! Ça vaut bien une petite compensation améliorrrée, héhé."
25,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Êtes-vous l'envoyé<If(PlayerParameter(4))>e<Else/></If> de la guilde des aventuriers<Indent/>? Parrrfait, je vous attendais.","Permettez-moi de vérrrifier... Excellent. Le seigneur Gegeruju sera ravi, à n'en point douter.","Ce n'est pas ce qui était prrrévu. Pourriez-vous m'apporter la marchandise, comme convenu<Indent/>?","Je vois que vous êtes une personne sérrrieuse. Accepteriez-vous une commande sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>re<Indent/>?","C'est tout à fait naturrrel. Vous avez déjà rempli vos engagements initiaux, et je vous en remercie.","Je vous remercie d'avoir pu répondre à ma requête favorablement. Voici le paiement convenu, avec un supplément pour vos serrrvices."
26,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Ah, vous voilà. Trêve de bavardages, apportez-vous ce que j'ai demandé<Indent/>?","Je vous remercie. C'est bien de voir qu'il est possible de faire confiance à la guilde des aventuriers. Tenez, voici la récompense dont nous avions convenu.","Alors, avez-vous apporté ce que j'ai commandé<Indent/>? Non<Indent/>? Bon, j'aimerais que vous vous dépêchiez un peu...","Merci à vous, aventuri<If(PlayerParameter(4))>ère<Else/>er</If>. Si cela ne vous embête pas, j'aimerais vous en demander un peu plus...","Ah, vraiment<Indent/>? Dans ce cas, je vais essayer de trouver une autre solution. Merci encore.","Vous êtes décidément une personne sur qui on peut compter. Je ne manquerai pas de le faire savoir à la guilde des aventuriers."
27,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Bien le <If(LessThan(PlayerParameter(11),12))><If(LessThan(PlayerParameter(11),4))>bonsoir<Else/>bonjour</If><Else/><If(LessThan(PlayerParameter(11),17))>bonjour<Else/>bonsoir</If></If>, ch<If(PlayerParameter(4))>ère<Else/>er</If> aventuri<If(PlayerParameter(4))>ère<Else/>er</If>. Je vous remercie de vous être déplacé<If(PlayerParameter(4))>e<Else/></If> jusqu'ici. Que m'apportez-vous de beau<Indent/>?","Oui, c'est ce que j'attendais<Indent/>! Heu<SoftHyphen/>reu<SoftHyphen/>se<SoftHyphen/>ment qu'il y a des pêcheurs comme vous pour que les gens comme moi puissent faire du commerce. Je vous remercie.","Il semblerait que vous n'ayez pas pu préparer les mar<SoftHyphen/>chan<SoftHyphen/>di<SoftHyphen/>ses pour l'instant. J'imagine que vous devez être gelé<If(PlayerParameter(4))>e<Else/></If>, mais je vous demande encore un petit effort.","J'aime les gens pleins de bonne volonté comme vous. Puis-je abuser de votre patience et vous demander quelques unités sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>?","Très bien, je ne veux en aucun cas vous mettre la pression. Je m'adresserai à quelqu'un d'autre, voilà tout.","J'admire votre abnégation. C'est un plaisir pour moi de travailler avec vous. Tenez, prenez ceci, vous l'avez amplement mérité."
28,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"Salutations, mon ami<If(PlayerParameter(4))>e<Else/></If>. Alors, la pêche a été bonne<Indent/>?","Eh bien oui, on dirait que tout y est. Quelle chance que la guilde des aventuriers m'ait envoyé quelqu'un comme vous<Indent/>! Je suis satisfait.","Hein<Indent/>? Où sont les poissons que j'ai commandés<Indent/>? Moi qui pensais que tout cela serait rapidement réglé...","Ce n'est pas tous les jours que j'ai la chance d'avoir un<If(PlayerParameter(4))>e<Else/></If> pêcheu<If(PlayerParameter(4))>se<Else/>r</If> comme vous à mon service. Puis-je vous demander un dernier effort<Indent/>?","Évidemment... Vous devez être quelqu'un de très demandé, ce que je comprends. Ça sera pour une prochaine fois<Indent/>!","Que dire... Si seulement tout le monde travaillait aussi bien que vous<Indent/>! C'est un plaisir de vous payer, et de rajouter un bonus par-dessus le marché<Indent/>!"
29,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous qui avez accepté notre demande<Indent/>? Je vous prie de vous dépêcher.","Oh, mais quel admirable travail<Indent/>! C'est exactement ce qu'il nous fallait comme qualité.","J'ai bien peur que vous n'ayez pas sur vous ce que nous vous avons demandé... Dépêchez, je vous prie<Indent/>!","C'est vraiment du bon travail, avec le niveau de qualité requis. Accepteriez-vous de faire un autre travail pour nous dans la foulée<Indent/>? Bien sûr, votre récompense sera à la hauteur de vos efforts.","Écoutez, si vous n'avez pas le temps, nous ne pouvons pas vous y obliger. J'espère toutefois que vous nous ferez le plaisir de retravailler pour nous.","Oui, je crois bien que le compte y est<Indent/>! Merci énormément. Voici votre dû<Indent/>!"
30,True,True,True,True,True,True,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,"C'est vous qui avez accepté notre demande, n'est-ce pas<Indent/>? Avez-vous apporté ce que nous voulons<Indent/>?","Oui, c'est exactement ce qu'il nous faut<Indent/>! Une chance qu'il y ait des pêcheurs de votre envergure par ici. Je vais récompenser vos efforts à leur juste valeur.","J'ai comme qui dirait l'impression que vous avez oublié le plus important... notre commande<Indent/>!","Écoutez, ce que vous m'apportez me satisfait pleinement, mais j'aimerais vous demander un petit supplément, si vous le voulez bien...","Vous ne pouvez pas<Indent/>? Eh bien, ce n'est pas grave. Je trouverai sûrement quelqu'un d'autre, qui acceptera à votre place...","Merci infiniment<Indent/>! Vous avez fait un excellent travail<Indent/>! Tenez, voici la récompense promise."
