key,0,1,2,3,4,5,6,7,8,9,10,11,12,13
10,1,243010,84,"hachimaki noué",0,"hachimaki noués",0,0,1,0,0,"Hachimaki noué","Dégâts physiques infligés +5%
Dégâts physiques subis -5%","Bonus de dégâts physiques, vulnérabilité physique diminuée"
11,1,243011,174,"béret vert",0,"bérets verts",0,0,1,0,0,"Béret vert","Puissance des attaques critiques +35
Dégâts infligés +3%
PV maximums +7%","Bonus de critiques, bonus de dégâts, bonus de PV"
12,1,243012,91,"paire de bottes mystiques",0,"paires de bottes mystiques",0,0,1,1,0,"Bottes mystiques","Esquive +8%
Vitesse de déplacement +50%
Effet spécial<Indent/>: augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Esquive augmentée, vitesse de déplacement augmentée, effets curatifs améliorés"
13,1,243013,104,"bague de préservation",0,"bagues de préservation",0,0,1,1,0,"Bague de préservation","Dégâts subis -10%
PV maximums +7%","Réduction des dégâts subis, bonus de PV"
14,1,243014,140,"bouclier de glace",0,"boucliers de glace",0,0,1,0,0,"Bouclier de glace","Dégâts subis -30%
Lenteur +10%
Effet spécial<Indent/>: 30% de chances d'annuler les dégâts de glace et de les absorber.","Élément glace absorbé, réduction des dégâts subis, Lenteur"
15,1,243015,266,"bouclier de terre",0,"boucliers de terre",0,0,1,0,0,"Bouclier de terre","Effet spécial<Indent/>: 30% de chances d'annuler les dégâts de terre et de les absorber.
Effet spécial<Indent/>: 10% de chances de se voir octroyer Cuirasse en bloquant une action avec le bouclier.
Cuirasse<Indent/>: diminue les dégâts subis pour un total de 15% des PV maximums.
Durée<Indent/>: 60s","Élément terre absorbé, Cuirasse en bloquant avec le bouclier"
16,1,243016,214,"bouclier d'eau",0,"boucliers d'eau",0,0,1,0,0,"Bouclier d'eau","Force de blocage +50%
Effet spécial<Indent/>: 30% de chances d'annuler les dégâts d'eau et de les absorber.
Effet spécial<Indent/>: 10% de chances de se voir octroyer Miroir en bloquant une action avec le bouclier.
Miroir<Indent/>: renvoie la plupart des attaques magiques.
Durée<Indent/>: 60s","Élément eau absorbé, force de blocage augmentée, Miroir en bloquant avec le bouclier"
17,1,243017,82,"bouclier de force",0,"boucliers de force",0,0,1,0,0,"Bouclier de force","Force de blocage +75%
Dégâts magiques subis -10%","Force de blocage augmentée, vulnérabilité magique diminuée"
18,1,243018,84,"ruban écarlate",0,"rubans écarlates",0,0,1,0,0,"Ruban écarlate","Résistance à Pétrification +100%
Résistance à Cécité +100%
Résistance à Paralysie +100%","Résistance à Pétrification, à Cécité et à Paralysie"
19,1,243019,238,"paire de gantelets Genji",0,"paires de gantelets Genji",0,0,1,1,0,"Gantelets Genji","Dégâts infligés +12%
Résistance à Paralysie +100%
Effet spécial<Indent/>: 10% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Bonus de dégâts, résistance à Paralysie, récupération de PT si combo instinctif réussi"
20,1,243020,94,"bouclier Genji",0,"boucliers Genji",0,0,1,0,0,"Bouclier Genji","Force de blocage +30%
Esquive +10%","Force de blocage augmentée, esquive augmentée"
21,1,243021,226,"armure Genji",0,"armures Genji",0,1,1,1,0,"Armure Genji","Vitesse de déplacement -20%
Dégâts subis -20%
PV maximums +30%","Vitesse de déplacement réduite, réduction des dégâts subis, bonus de PV"
22,1,243022,112,"paire de lunettes argentées",0,"paires de lunettes argentées",0,0,1,1,0,"Lunettes argentées","Chances de critiques +15%
Résistance à Cécité +100%","Chances de critiques améliorées, résistance à Cécité"
23,1,243023,189,"aube d'ange",0,"aubes d'ange",0,1,1,1,0,"Aube d'ange","Dégâts subis -7%
Résistance à Poison +100%
Effet spécial<Indent/>: 5% de chances de se voir octroyer un degré de Recouvrement en subissant des dégâts. Cumulable jusqu'au 8e degré.
Recouvrement<Indent/>: restaure périodiquement 3% de vos PV maximums.
Durée<Indent/>: 12s","Réduction des dégâts subis, résistance à Poison, récupération de PV en subissant des dégâts"
24,1,243024,390,"bouclier de dresseur",0,"boucliers de dresseur",0,0,1,0,0,"Bouclier de dresseur","Force de blocage +125%
Dégâts subis -25%
PV maximums +35%","Force de blocage augmentée, réduction des dégâts subis, bonus de PV"
25,1,243025,220,"voile mystique",0,"voiles mystiques",0,0,1,0,0,"Voile mystique","Dégâts magiques infligés +18%
Dégâts magiques subis -15%
Effet spécial<Indent/>: augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Bonus de dégâts magiques, vulnérabilité magique diminuée, effets curatifs améliorés"
26,1,243026,122,"zukin noir",0,"zukin noirs",0,0,1,0,0,"Zukin noir","PV maximums +6%
Esquive +8%
Résistance à Sommeil +100%","Bonus de PV, esquive augmentée, résistance à Sommeil"
27,1,243027,420,"couronne héroïque",0,"couronnes héroïques",0,0,1,1,0,"Couronne héroïque","PV maximums +30%
Dégâts infligés +18%
Effet spécial<Indent/>: vous octroie Excellence si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.
Excellence<Indent/>: annule la plupart des attaques et augmente de 10% les dégâts infligés.
Durée<Indent/>: 9s","Bonus de PV, bonus de dégâts, Excellence si combo instinctif réussi"
28,1,243028,150,"gilet mirage",0,"gilets mirages",0,0,1,0,0,"Gilet mirage","Effet spécial<Indent/>: 20% de chances de se voir octroyer un degré de Leurre en subissant des dégâts.
Leurre<Indent/>: bloque la plupart des attaques physiques. Consomme un degré par attaque bloquée.
Durée<Indent/>: 120s","Leurre en subissant des dégâts"
29,1,243029,99,"armure de la Mort",0,"armures de la Mort",0,1,1,1,0,"Armure de la Mort","PV maximums +10%
Dégâts subis -5%
Résistance à Glas +100%","Bonus de PV, réduction des dégâts subis, résistance à Glas"
30,1,243030,168,"armure de ronces",0,"armures de ronces",0,1,1,1,0,"Armure de ronces","Effet spécial<Indent/>: inflige une riposte aux dégâts magiques neutres à l'attaquant lorsque vous subissez des attaques physiques. Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts infligés par la riposte.
Puissance<Indent/>: 360","Riposte en cas de dégâts physiques subis"
31,1,243031,90,"couteau de poltron",0,"couteaux de poltron",0,0,1,0,0,"Couteau de poltron","Dégâts infligés +1%
Effet spécial<Indent/>: 35% de chances de pouvoir fuir une rencontre avec un ennemi. Aucune récompense n'est obtenue en cas de fuite, mais le combat est évité.
Fuite impossible face aux boss et aux cibles d'élite.
Effet additionnel<Indent/>: vous octroie un degré de Tape & trace en cas de fuite.
Tape & trace<Indent/>: dégâts infligés +18%, Esquive +4%
Durée<Indent/>: infinie","Bonus de dégâts, fuite en rencontrant un ennemi"
32,1,243032,167,"gilet ombral",0,"gilets ombraux",0,0,1,0,0,"Gilet ombral","PV maximums +12%
Effet spécial<Indent/>: 25% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Bonus de PV, récupération de PT si combo instinctif réussi"
33,1,243033,81,"bague ombrale",0,"bagues ombrales",0,0,1,1,0,"Bague ombrale","Dégâts physiques subis -9%
Effet spécial<Indent/>: 10% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Vulnérabilité physique diminuée, récupération de PT si combo instinctif réussi"
34,1,243034,112,"bracelet ombral",0,"bracelets ombraux",0,0,1,0,0,"Bracelet ombral","Dégâts magiques subis -15%
PV maximums +5%
Résistance à Étourdissement +100%","Vulnérabilité magique diminuée, bonus de PV, résistance à Étourdissement"
35,1,243035,190,"gilet astral",0,"gilets astraux",0,0,1,0,0,"Gilet astral","Recharge rapide +25%
Dégâts subis -7%
PV maximums +15%","Recharge rapide, réduction des dégâts subis, bonus de PV"
36,1,243036,74,"bague astrale",0,"bagues astrales",0,0,1,1,0,"Bague astrale","Recharge rapide +15%
Dégâts physiques subis -8%","Recharge rapide, vulnérabilité physique diminuée"
37,1,243037,86,"bracelet astral",0,"bracelets astraux",0,0,1,0,0,"Bracelet astral","Recharge rapide +15%
Dégâts magiques subis -8%","Recharge rapide, vulnérabilité magique diminuée"
38,1,243038,168,"hache imprégnée de flammes",0,"haches imprégnées de flammes",0,0,1,1,0,"Hache imprégnée de flammes","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res de feu à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires de feu pour l'attaque automatique"
39,1,243039,168,"hache imprégnée de glace",0,"haches imprégnées de glace",0,0,1,1,0,"Hache imprégnée de glace","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res de glace à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires de glace pour l'attaque automatique"
40,1,243040,168,"hache imprégnée de foudre",0,"haches imprégnées de foudre",0,0,1,1,0,"Hache imprégnée de foudre","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res de foudre à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires de foudre pour l'attaque automatique"
41,1,243041,168,"hache imprégnée de terre",0,"haches imprégnées de terre",0,0,1,1,0,"Hache imprégnée de terre","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res de terre à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires de terre pour l'attaque automatique"
42,1,243042,168,"hache imprégnée d'eau",0,"haches imprégnées d'eau",0,0,1,1,0,"Hache imprégnée d'eau","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res d'eau à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires d'eau pour l'attaque automatique"
43,1,243043,168,"hache imprégnée de vent",0,"haches imprégnées de vent",0,0,1,1,0,"Hache imprégnée de vent","Effet spécial<Indent/>: ajoute des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res de vent à vos attaques automatiques.
Les améliorations de dégâts magiques apportées par les pièces d'équipement de dressage et leurs aptitudes s'appliquent aux dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res infligés.
Puissance des dégâts sup<SoftHyphen/>plé<SoftHyphen/>men<SoftHyphen/>tai<SoftHyphen/>res<Indent/>: 240
Si vous possédez plusieurs pièces d'équipement de dressage ajoutant des effets à l'attaque automatique, seuls les effets de l'une d'elle s'appliqueront.","Dégâts supplémentaires de vent pour l'attaque automatique"
44,1,243044,175,"tenue de furtivité",0,"tenues de furtivité",0,0,1,1,0,"Tenue de furtivité","PV maximums +17%
Esquive +8%
Effet spécial<Indent/>: vous octroie un degré de Hâte lorsque vous esquivez une attaque. Cumulable jusqu'au 5e degré.
Hâte<Indent/>: réduit de 2% le délai des attaques automatiques et les temps de lancement et de recharge des techniques d'arme et des sorts de magie.
Durée<Indent/>: 60s","Bonus de PV, esquive augmentée, Hâte en cas d'esquive"
45,1,243045,63,"paire de gantelets de furtivité",0,"paires de gantelets de furtivité",0,0,1,1,0,"Gantelets de furtivité","Hâte +2%
Dégâts physiques infligés +3%","Hâte, bonus de dégâts physiques"
46,1,243046,91,"cache-œil de furtivité",0,"cache-œils de furtivité",0,0,1,0,0,"Cache-œil de furtivité","Hâte +5%
Chances de critiques +5%","Hâte, chances de critiques améliorées"
47,1,243047,224,"bouclier de vent",0,"boucliers de vent",0,0,1,0,0,"Bouclier de vent","Effet spécial<Indent/>: 30% de chances d'annuler les dégâts de vent et de les absorber.
Effet spécial<Indent/>: 50% de chances de se voir octroyer un degré de Leurre en bloquant une action avec le bouclier.
Leurre<Indent/>: bloque la plupart des attaques physiques. Consomme un degré par attaque bloquée.
Durée<Indent/>: 120s","Élément vent absorbé, Leurre en bloquant avec le bouclier"
48,1,243048,154,"masque de vent",0,"masques de vent",0,0,1,0,0,"Masque de vent","Dégâts magiques subis -10%
Effet spécial<Indent/>: augmente de 15% les effets curatifs des actions et des objets du Dédale que vous utilisez.
Effet spécial<Indent/>: vous octroie Double tranchant lorsque vous esquivez une attaque.
Double tranchant<Indent/>: les dégâts infligés augment de 30%, mais vous subissez des dégâts périodiques.
Durée<Indent/>: 21s","Vulnérabilité magique diminuée, effets curatifs améliorés, Double tranchant en cas d'esquive"
49,1,243049,264,"armure de vent",0,"armures de vent",0,1,1,1,0,"Armure de vent","Dégâts subis -15%
Dégâts magiques infligés +20%
Effet spécial<Indent/>: augmente de 30% les effets curatifs des actions et des objets du Dédale que vous utilisez.","Réduction des dégâts subis, bonus de dégâts magiques, effets curatifs améliorés"
50,1,243050,268,"hache lourde",0,"haches lourdes",0,0,1,1,0,"Hache lourde","Dégâts infligés +25%
Vitesse de déplacement -20%","Bonus de dégâts, vitesse de déplacement réduite"
51,1,243051,172,"armure de mithril",0,"armures de mithril",0,1,1,1,0,"Armure de mithril","Dégâts subis -15%
PV maximums +15%","Réduction des dégâts subis, bonus de PV"
52,1,243052,113,"paire de gantelets de mithril",0,"paires de gantelets de mithril",0,0,1,1,0,"Gantelets de mithril","Dégâts subis -5%
Dégâts physiques infligés +5%
PV maximums +5%","Réduction des dégâts subis, bonus de dégâts physiques, bonus de PV"
53,1,243053,85,"paire de genouillères de mithril",0,"paires de genouillères de mithril",0,0,1,1,0,"Genouillères de mithril","Dégâts subis -10%
PV maximums +5%","Réduction des dégâts subis, bonus de PV"
54,1,243054,126,"masque de fauve",0,"masques de fauve",0,0,1,0,0,"Masque de fauve","Dégâts physiques subis -10%
Chances de critiques +15%","Vulnérabilité physique diminuée, chances de critiques améliorées"
55,1,243055,87,"dague de fauve",0,"dagues de fauve",0,0,1,1,0,"Dague de fauve","Chances de critiques +8%
Effet spécial<Indent/>: 25% de chances de se voir octroyer un degré de Bonus de dégâts en cas d'attaque critique. Cumulable jusqu'au 8e degré.
Bonus de dégâts<Indent/>: augmente de 3% les dégâts infligés.
Durée<Indent/>: 30s","Chances de critiques améliorées, bonus de dégâts en cas de critique"
56,1,243056,84,"boucle d'oreille de fauve",0,"boucles d'oreille de fauve",0,0,1,1,0,"Boucle d'oreille de fauve","Chances de critiques +15%
PV maximums +2%","Chances de critiques améliorées, bonus de PV"
57,1,243057,200,"dague de voleur",0,"dagues de voleur",0,0,1,1,0,"Dague de voleur","Hâte +1%
Effet spécial<Indent/>: permet de sélectionner deux objets en trouvant un coffre au trésor.","Hâte, 2 objets par coffre"
58,1,243058,172,"gilet de voleur",0,"gilets de voleur",0,0,1,0,0,"Gilet de voleur","Taux d'obtention de butin +80%
Dégâts subis -8%
PV maximums +18%","Bonus d'obtention de butin, réduction des dégâts subis, bonus de PV"
59,1,243059,50,"paire de gants de voleur",0,"paires de gants de voleur",0,0,1,1,0,"Gants de voleur","Taux d'obtention de butin +70%
Hâte +2%","Bonus d'obtention de butin, Hâte"
60,1,243060,30,"paire de bottes de voleur",0,"paires de bottes de voleur",0,0,1,1,0,"Bottes de voleur","Taux d'obtention de butin +40%
Esquive +2%","Bonus d'obtention de butin, esquive augmentée"
61,1,243061,315,"hache de foudre",0,"haches de foudre",0,0,1,1,0,"Hache de foudre","Dégâts infligés +30%
Effet spécial<Indent/>: 5% de chances de subir Étourdissement lorsque vous subissez des dégâts.
Durée d'Étourdissement<Indent/>: 3s","Bonus de dégâts, Étourdissement en cas de dégâts subis"
62,1,243062,161,"armure de foudre",0,"armures de foudre",0,1,1,1,0,"Armure de foudre","Effet spécial<Indent/>: 30% de chances d'annuler les dégâts de foudre et de les absorber.
Effet spécial<Indent/>: 5% de chances de se voir octroyer un degré d'Excitation en cas d'attaque critique. Cumulable jusqu'au 4e degré.
Excitation<Indent/>: dégâts infligés +10%, dégâts subis -5%
Durée<Indent/>: 180s","Élément foudre absorbé, Excitation en cas de critique"
63,1,243063,84,"bouclier repousse-démons",0,"boucliers repousse-démons",0,0,1,0,0,"Bouclier repousse-démons","Effet spécial<Indent/>: octroie un degré de Vulnérabilité magique diminuée en bloquant une action avec le bouclier. Cumulable jusqu'au 8e degré.
Vulnérabilité magique diminuée<Indent/>: réduit de 5% les dégâts magiques subis.
Durée<Indent/>: 60s","Vulnérabilité magique diminuée en bloquant avec le bouclier"
64,1,243064,113,"épingle à cheveux dorée",0,"épingles à cheveux dorée",0,1,1,1,0,"Épingle à cheveux dorée","Recharge rapide +10%
Effet spécial<Indent/>: 25% de chances de récupérer une partie des PT utilisés si vous réussissez un combo instinctif au déclenchement de votre technique d'arme.","Recharge rapide, récupération de PT si combo instinctif réussi"
65,1,243065,262,"couteau ignescent",0,"couteaux ignescents",0,0,1,0,0,"Couteau ignescent","Dégâts infligés +25%
Hâte +5%
Effet spécial<Indent/>: 10% de chances de subir Chaînes de flammes en cas d'attaque critique.
Chaînes de flammes<Indent/>: inflige des dégâts magiques en cas de déplacement.
Durée<Indent/>: 9s","Bonus de dégâts, Hâte, Chaînes de flammes en cas de critique"
66,1,243066,116,"bouclier ignescent",0,"boucliers ignescents",0,0,1,0,0,"Bouclier ignescent","Force de blocage +50%
Dégâts infligés +3%
Effet spécial<Indent/>: 30% de chances d'annuler les dégâts de feu et de les absorber.","Élément feu absorbé, force de blocage augmentée, bonus de dégâts"
67,1,243067,24,"bonnet de commerçant",0,"bonnets de commerçant",0,0,1,0,0,"Bonnet de commerçant","Augmente de 25% les jetons bestiaux reçus.
Chances de critiques -10%
Dégâts physiques infligés +5%","Jetons bestiaux supplémentaires, chances de critique diminuées, bonus de dégâts"
68,1,243068,52,"gilet de commerçant",0,"gilets de commerçant",0,0,1,0,0,"Gilet de commerçant","Augmente de 25% les jetons bestiaux reçus.
Dégâts physiques subis -10%","Jetons bestiaux supplémentaires, vulnérabilité physique diminuée"
69,1,243069,101,"paire de chaussures de commerçant",0,"paires de chaussures de commerçant",0,0,1,1,0,"Chaussures de commerçant","Augmente de 25% les jetons bestiaux reçus.
Esquive +4%
PV maximums +12%","Jetons bestiaux supplémentaires, esquive augmentée, bonus de PV"
70,1,243070,113,"bague de soulagement",0,"bagues de soulagement",0,0,1,1,0,"Bague de soulagement","PV maximums +3%
Effet spécial<Indent/>: augmente de 25% l'accumulation de PT.","Accumulation des PT augmentée"
71,1,243071,264,"casque diabolique",0,"casques diaboliques",0,0,1,0,0,"Casque diabolique","Dégâts infligés +20%
Effet spécial<Indent/>: 1% de chances de subir Glas lorsque vous subissez des dégâts.
Durée de Glas<Indent/>: 2s
Effet spécial<Indent/>: augmente de 20% l'accumulation de PT.","Bonus de dégâts, Glas en cas de dégâts subis, accumulation des PT augmentée"
72,1,243072,170,"armure diabolique",0,"armures diaboliques",0,1,1,1,0,"Armure diabolique","PV maximums +5%
Effet spécial<Indent/>: augmente de 5% l'accumulation de PT.
Effet spécial<Indent/>: vous octroie un degré d'Excitation lorsque vous éliminez un ennemi. Cumulable jusqu'au 4e degré.
Excitation<Indent/>: dégâts infligés +10%, dégâts subis -5%
Durée<Indent/>: 180s","Bonus de PV, accumulation des PT augmentée, Excitation en éliminant un ennemi"
73,1,243073,129,"épingle à cheveux de l'Impératrice ",0,"épingles à cheveux de l'Impératrice ",0,1,1,1,0,"Épingle à cheveux de l'Impératrice ","Esquive +10%
PV maximums -8%
Effet spécial<Indent/>: 2% de chances de se voir octroyer un degré de Recouvrement en cas d'attaque critique. Cumulable jusqu'au 8e degré.
Recouvrement<Indent/>: restaure périodiquement 3% de vos PV maximums.
Durée<Indent/>: 12s","Esquive augmentée, malus de PV, récupération de PV en cas de critique"
74,1,243074,76,"ceinture de hâte",0,"ceintures de hâte",0,0,1,1,0,"Ceinture de hâte","Hâte +6%","Hâte"
75,1,243075,64,"hoplon de guerrier",0,"hoplons de guerrier",0,0,1,0,0,"Hoplon de guerrier","Force de blocage +100%
Dégâts physiques subis -5%
PV maximums +2%","Force de blocage augmentée, vulnérabilité physique diminuée, bonus de PV"
76,2,243136,32,"potion de bête I",0,"potions de bête I",0,0,1,1,0,"Potion de bête I","Restaure 10% des PV du dresseur ou d'une bête.",""
77,2,243137,72,"potion de bête II",0,"potions de bête II",0,0,1,1,0,"Potion de bête II","Restaure 23% des PV du dresseur ou d'une bête.",""
78,2,243138,113,"potion de bête III",0,"potions de bête III",0,0,1,1,0,"Potion de bête III","Restaure 36% des PV du dresseur ou d'une bête.",""
79,2,243139,158,"potion de bête IV",0,"potions de bête IV",0,0,1,1,0,"Potion de bête IV","Restaure 50% des PV du dresseur ou d'une bête.",""
80,2,243140,63,"poignée de poudre pour bête I",0,"poignées de poudre pour bête I",0,0,1,1,0,"Poudre pour bête I","Restaure vos PV et ceux des alliés alentour de 10%.",""
81,2,243141,158,"poignée de poudre pour bête II",0,"poignées de poudre pour bête II",0,0,1,1,0,"Poudre pour bête II","Restaure vos PV et ceux des alliés alentour de 25%.",""
82,2,243142,252,"poignée de poudre pour bête III",0,"poignées de poudre pour bête III",0,0,1,1,0,"Poudre pour bête III","Restaure vos PV et ceux des alliés alentour de 40%.",""
83,2,243143,32,"antidote de bête",0,"antidotes de bête",0,1,1,0,0,"Antidote de bête","Soigne instantanément la plupart des cas d'empoisonnement affectant le dresseur ou l'une de ses bêtes, et restaure 25% des PV maximums en cas de réussite.
Cet objet ne peut être utilisé que dans l'arène de combat.",""
84,2,243144,32,"aiguille de bête",0,"aiguilles de bête",0,1,1,1,0,"Aiguille de bête","Soigne instantanément la plupart des cas de pétrification affectant une bête, restaure 50% de ses PV maximums en cas de réussite, et lui octroie Cuirasse.
Cuirasse<Indent/>: protége des dégâts pour un total de 50% de ses PV maximums.
Durée<Indent/>: 60s
Cet objet ne peut être utilisé que dans l'arène de combat.",""
85,2,243145,32,"fiole de collyre de bête",0,"fioles de collyre de bête",0,0,1,1,0,"Fiole de collyre de bête","Soigne instantanément la plupart des cas de cécité affectant le dresseur ou l'une de ses bêtes, et restaure 25% des PV maximums en cas de réussite.
Cet objet ne peut être utilisé que dans l'arène de combat.",""
86,2,243146,32,"fiole de sérum anti-poison de bête I",0,"fioles de sérum anti-poison de bête I",0,0,1,1,0,"Sérum anti-poison de bête I","Augmente la résistance à Poison de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet<Indent/>: 180s
Effet additionnel<Indent/>: restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",""
87,2,243147,50,"fiole de sérum anti-poison de bête II",0,"fioles de sérum anti-poison de bête II",0,0,1,1,0,"Sérum anti-poison de bête II","Augmente la résistance à Poison de 100% pour vous et les alliés alentour.
Durée d'effet<Indent/>: 300s
Effet additionnel<Indent/>: restaure 50% des PV maximums si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",""
88,2,243148,32,"fiole de sérum anti-paralysie de bête I",0,"fioles de sérum anti-paralysie de bête I",0,0,1,1,0,"Sérum anti-paralysie de bête I","Augmente la résistance à Paralysie de 100% pour le dresseur ou l'une de ses bêtes.
Durée d'effet<Indent/>: 180s
Effet additionnel<Indent/>: restaure 50% des PV maximums de la cible si vous possédez un ruban écarlate.
Cet objet ne peut être utilisé que dans l'arène de combat.",""
