key,0,1,2,3,4,5,6
16,1,1,150812,1,"Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Baderon et accomplissez votre première quête<Indent/>!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Miounne et accomplissez votre première quête<Indent/>!","Lorsque vous remplissez tous les objectifs d'une quête, vous recevez une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>récompense<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Celle-ci peut prendre la forme de points d'expérience, de gils, ou encore d'objets.

Parlez à Momodi et accomplissez votre première quête<Indent/>!"
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"Le <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>menu principal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> permet d'accéder rapidement aux fonctions les plus utilisées dans le jeu. L'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Personnage<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, par exemple, permet de voir diverses ca<SoftHyphen/>rac<SoftHyphen/>té<SoftHyphen/>ris<SoftHyphen/>ti<SoftHyphen/>ques de votre personnage ainsi que son équipement. L'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Journal<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, quant à elle, permet d'obtenir des in<SoftHyphen/>for<SoftHyphen/>ma<SoftHyphen/>tions relatives aux quêtes en cours ou achevées.","",""
21,1,0,150142,0,"Pour accéder aux différentes options de personnalisation, telles que l'attribution des touches, la configuration sonore et graphique, les macros ou encore l'ATH, ouvrez le menu <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Système<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Si vous voulez revoir les fenêtres d'aide contextuelle, sélectionnez le menu <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Tutoriel<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
22,1,0,150143,0,"La progression dans le jeu est <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>au<SoftHyphen/>to<SoftHyphen/>ma<SoftHyphen/>ti<SoftHyphen/>que<SoftHyphen/>ment sauvegardée<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Il est, par conséquent, possible de quitter le jeu à tout moment. Cependant, afin de prévenir tout risque de corruption des données, il est recommandé de terminer une partie en utilisant l'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déconnexion<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Quitter le jeu<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à partir du menu <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Système<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
23,0,0,0,0,"","",""
24,0,0,0,0,"","",""
25,1,0,150131,0,"Le sort <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapatriement<UIGlow>01</UIGlow><UIForeground>01</UIForeground> vous permet de retourner im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment à l'éthérite que vous avez enregistrée comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de retour<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Pour l'utiliser, cliquez sur l'icone <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déplacements<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du menu principal et choisissez l'option “Rapatriement”.","",""
26,1,0,150132,0,"Vous ne pouvez enregistrer qu'une seule éthérite comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de retour<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Pour ce faire, effectuez un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>clic droit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> sur l'éthérite de votre choix.
Le sort Rapatriement ne consomme aucun PM, néanmoins un délai de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>15 minutes<UIGlow>01</UIGlow><UIForeground>01</UIForeground> est nécessaire pour pouvoir le lancer de nouveau.","",""
27,1,0,150131,0,"Le sort <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rapatriement<UIGlow>01</UIGlow><UIForeground>01</UIForeground> vous permet de retourner im<SoftHyphen/>mé<SoftHyphen/>dia<SoftHyphen/>te<SoftHyphen/>ment à l'éthérite que vous avez enregistrée comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de retour<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Pour l'utiliser, ouvrez le menu principal et sélectionnez l'option “Rapatriement” à partir de la rubrique <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déplacements<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
28,1,0,150133,0,"Vous ne pouvez enregistrer qu'une seule éthérite comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de retour<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Pour ce faire, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>ciblez l'éthérite<UIGlow>01</UIGlow><UIForeground>01</UIForeground> de votre choix et pressez la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Le sort Rapatriement ne consomme aucun PM, néanmoins un délai de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>15 minutes<UIGlow>01</UIGlow><UIForeground>01</UIForeground> est nécessaire pour pouvoir le lancer de nouveau.","",""
29,0,0,0,0,"","",""
30,1,1,150041,0,"Pour afficher la carte, cliquez sur l'icone <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déplacements<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du menu principal et sélectionnez l'option “Carte”. Vous pouvez également appuyez sur la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>M<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du clavier.

Les objectifs de quête situés à proximité de votre personnage sont indiqués par des icones.","",""
31,1,1,150042,0,"Si vous vous êtes égaré(e) ou que vous avez oublié votre destination, vous pouvez visualiser l'endroit où vous devez vous rendre en cliquant sur l'objectif voulu dans la <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>liste des objectifs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
32,1,1,150041,0,"Pour afficher la carte, ouvrez le menu principal et sélectionnez l'option “Carte” à partir de la rubrique <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déplacements<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.

Les objectifs de quête situés à proximité de votre personnage sont indiqués par des icones.","",""
33,1,1,150042,0,"Si vous vous êtes égaré(e) ou que vous avez oublié votre destination, vous pouvez voir l'endroit où vous devez vous rendre en sélectionnant l'objectif voulu dans la <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>liste des objectifs<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, puis en pressant la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
34,0,0,0,0,"","",""
35,1,0,150181,0,"Pour gérer l'équipement de votre personnage, ouvrez la <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>fenêtre de personnage<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à partir du menu principal (ou appuyez sur la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>P<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du clavier).","",""
36,1,0,150182,0,"Pour modifier votre équipement, commencez par sélectionner une case d'équipement dans la fenêtre de personnage. Choisissez ensuite l'objet voulu dans l'<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>arsenal<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (ou l'<UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>inventaire<UIGlow>01</UIGlow><UIForeground>01</UIForeground>) et utilisez l'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Équiper<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du sous-menu.","",""
37,1,0,150181,0,"Pour gérer l'équipement de votre personnage, ouvrez la <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>fenêtre de personnage<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à partir du menu principal.","",""
38,0,0,0,0,"","",""
39,0,0,0,0,"","",""
40,1,0,150221,0,"Le service de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>courrier mog<UIGlow>01</UIGlow><UIForeground>01</UIForeground> vous permet d'échanger des lettres, des objets, ou encore des gils avec les personnes enregistrées dans votre liste d'amis. Pour en profiter, il suffit de vous adresser aux <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Mogs postiers<UIGlow>01</UIGlow><UIForeground>01</UIForeground> ou d'utiliser les <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>boîtes à lettres mog<UIGlow>01</UIGlow><UIForeground>01</UIForeground> que vous trouvez sur votre route.","",""
41,1,0,150222,0,"Pour envoyer une lettre, parlez à un Mog postier et cliquez sur le bouton <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Nouvelle<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à partir de la fenêtre <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Courrier mog<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Choisissez un des<SoftHyphen/>ti<SoftHyphen/>na<SoftHyphen/>tai<SoftHyphen/>re, saisissez un message, puis cliquez sur <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Envoyer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Vous pouvez également joindre des gils ou des objets à votre courrier.","",""
42,1,0,150222,0,"Pour envoyer une lettre, parlez à un Mog postier et sélectionnez <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Nouvelle<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à partir de la fenêtre <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Courrier mog<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Choisissez un des<SoftHyphen/>ti<SoftHyphen/>na<SoftHyphen/>tai<SoftHyphen/>re, saisissez un message, puis confirmez via l'icone <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Envoyer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Vous pouvez également joindre des gils ou des objets à votre courrier.","",""
43,0,0,0,0,"","",""
44,0,0,0,0,"","",""
45,1,0,150191,0,"Vous venez de vous harmoniser avec une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>éthérite urbaine<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Vous pouvez désormais utiliser le <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>réseau de transport urbain éthéré<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour vous déplacer rapidement à travers la Cité.","",""
46,0,0,0,0,"","",""
47,0,0,0,0,"","",""
48,0,0,0,0,"","",""
49,0,0,0,0,"","",""
50,1,0,150151,0,"Vous avez appris le sort <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Téléportation<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Vous pouvez désormais vous déplacer instantanément vers les éthérites avec lesquelles vous vous êtes harmonisé(e) en utilisant l'option “Téléportation” disponible à partir de la rubrique <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Déplacements<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du menu principal.","",""
51,1,0,150152,0,"Con<SoftHyphen/>trai<SoftHyphen/>re<SoftHyphen/>ment aux autres sorts, la téléportation ne consomme pas de PM. Il faut néanmoins s'acquitter d'une <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>somme modique en gils<UIGlow>01</UIGlow><UIForeground>01</UIForeground> auprès des gardiens de l'éthérite pour le maintien et la protection des cristaux. Cette somme varie en fonction de la distance à parcourir et de l'éloignement de l'éthérite.","",""
52,1,0,150153,0,"Enregistrer une éthérite comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>endroit favori<UIGlow>01</UIGlow><UIForeground>01</UIForeground> permet de réduire le nombre de gils nécessaires pour se téléporter jusqu'à elle.

Il est possible d'enregistrer <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>jusqu'à trois éthérites<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à la fois.","",""
53,0,0,0,0,"","",""
54,0,0,0,0,"","",""
55,0,0,0,0,"","",""
56,0,0,0,0,"","",""
57,0,0,0,0,"","",""
58,0,0,0,0,"","",""
59,0,0,0,0,"","",""
60,1,1,150031,0,"Lorsque vous acceptez une quête, la <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>liste des objectifs<UIGlow>01</UIGlow><UIForeground>01</UIForeground> apparaît à droite de l'écran. Celle-ci vous permet de voir les titres des quêtes (jusqu'à 5) ainsi que les objectifs en cours pour chacune d'entre elles.","",""
61,1,1,150032,0,"En cliquant sur le titre d'une quête, vous pouvez afficher le <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>journal<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Ce dernier vous permet de vous remémorer les grandes lignes de l'histoire, de vérifier les objectifs en cours ainsi que les récompenses.","",""
62,1,1,150032,0,"En pressant la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir sélectionné le titre d'une quête, vous pouvez afficher le <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>journal<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Ce dernier vous permet de vous remémorer les grandes lignes de l'histoire, de vérifier les objectifs en cours ainsi que les récompenses.","",""
63,0,0,0,0,"","",""
64,0,0,0,0,"","",""
65,1,1,150051,0,"Pour progresser dans cette quête, vous devez utiliser un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>objet-clef<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Pour cela, commencez par faire apparaître la fenêtre d'objets-clefs en faisant un clic droit sur la cible de votre choix. Sélectionnez l'objet désiré à l'aide d'un clic droit et validez l'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Utiliser<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du sous-menu.","",""
66,1,1,150051,0,"Pour progresser dans cette quête, vous devez utiliser un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>objet-clef<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Pour ce faire, sélectionnez la cible de votre choix, puis pressez la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour faire apparaître la fenêtre d'objets-clefs. Choisissez ensuite l'objet désiré, puis validez l'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Utiliser<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du sous-menu.","",""
67,0,0,0,0,"","",""
68,0,0,0,0,"","",""
69,0,0,0,0,"","",""
70,1,1,150061,0,"Certaines quêtes demandent à ce que vous interagissiez avec un ou plusieurs objets afin de progresser. Pour ce faire, effectuez simplement un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>clic droit<UIGlow>01</UIGlow><UIForeground>01</UIForeground> dessus.","",""
71,1,1,150061,0,"Certaines quêtes demandent à ce que vous interagissiez avec un ou plusieurs objets afin de progresser. Pour ce faire, ciblez simplement l'objet en question et pressez la touche <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Confirmer<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.","",""
72,0,0,0,0,"","",""
73,0,0,0,0,"","",""
74,0,0,0,0,"","",""
75,0,0,0,0,"","",""
76,0,0,0,0,"","",""
77,0,0,0,0,"","",""
78,0,0,0,0,"","",""
79,0,0,0,0,"","",""
80,1,1,150381,0,"Les <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>emotes<UIGlow>01</UIGlow><UIForeground>01</UIForeground> vous permettent d'exprimer des émotions à l'égard d'une personne ou d'une situation.

Pour utiliser cette fonctionnalité, ciblez un joueur (si nécessaire) et sélectionnez l'option “Emotes” disponible à partir de la rubrique <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Communication<UIGlow>01</UIGlow><UIForeground>01</UIForeground> du menu principal.","",""
81,1,1,150382,1,"Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>S'agenouiller<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rhoswen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête.","Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>S'incliner<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Aunillie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête.","Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Accueillir<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Juliana<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête."
82,1,1,150383,0,"Si vous le désirez, vous pouvez également ajouter des emotes dans la barre de raccourcis. Pour ce faire, effectuez simplement un <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>glisser-déposer<UIGlow>01</UIGlow><UIForeground>01</UIForeground> de l'emote désirée à partir de la fenêtre d'emotes vers la barre de raccourcis. Notez qu'il est également possible d'ajouter des objets ou des macros.","",""
83,1,1,150382,1,"Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>S'agenouiller<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Rhoswen<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête.","Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>S'incliner<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Aunillie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête.","Ici, vous devez choisir la commande <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Accueillir<UIGlow>01</UIGlow><UIForeground>01</UIForeground> après avoir ciblé <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Juliana<UIGlow>01</UIGlow><UIForeground>01</UIForeground> pour accomplir l'objectif de quête."
84,0,0,0,0,"","",""
85,0,0,0,0,"","",""
86,0,0,0,0,"","",""
87,0,0,0,0,"","",""
88,0,0,0,0,"","",""
89,0,0,0,0,"","",""
90,1,0,150161,0,"Lorsque votre barre de <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>points de vie<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (PV) arrive à zéro, votre personnage tombe <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>inconscient<UIGlow>01</UIGlow><UIForeground>01</UIForeground>. Dès lors, deux choix s'offrent à vous<Indent/>: soit vous choisissez de retourner à l'éthérite que vous avez enregistrée comme <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de retour<UIGlow>01</UIGlow><UIForeground>01</UIForeground> (ou <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>point de départ<UIGlow>01</UIGlow><UIForeground>01</UIForeground> dans les instances), soit vous attendez qu'un joueur vous ranime à l'aide du sort <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Vie<UIGlow>01</UIGlow><UIForeground>01</UIForeground>, par exemple.","",""
91,1,0,150162,0,"En plus de vous affaiblir momentanément, tomber inconscient <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>affecte la condition<UIGlow>01</UIGlow><UIForeground>01</UIForeground> de vos équipements. Lorsqu'une pièce d'équipement atteint 0 %, elle perd ses capacités.

N.B.<Indent/>: l'usure des équipements suite à un K.O. ne survient pas jusqu'au niveau 9 ou dans certaines instances.","",""
92,0,0,0,0,"","",""
93,0,0,0,0,"","",""
94,0,0,0,0,"","",""
95,0,0,0,0,"","",""
96,0,0,0,0,"","",""
97,0,0,0,0,"","",""
98,0,0,0,0,"","",""
99,0,0,0,0,"","",""
100,0,0,0,0,"","",""
101,0,0,0,0,"","",""
102,0,0,0,0,"","",""
103,0,0,0,0,"","",""
104,0,0,0,0,"","",""
105,1,0,150572,0,"Vous pouvez sortir d'un donjon à tout moment en sélectionnant l'option <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>Quitter<UIGlow>01</UIGlow><UIForeground>01</UIForeground> de l'outil de mission ou en utilisant le <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>portail d'éthérite<UIGlow>01</UIGlow><UIForeground>01</UIForeground> à l'entrée. Il est à noter toutefois que vos équipiers seront contraints de continuer sans vous.

Pensez à les prévenir avant de partir.","",""
106,1,0,150573,0,"Lorsque vous rencontrez un boss et commencez à l'attaquer, un message vous indiquant le temps restant avant la fermeture de la zone de combat s'affiche à l'écran.
Passé ce délai, <UIForeground>F201FA</UIForeground><UIGlow>F201FB</UIGlow>plus personne ne peut rejoindre ou quitter cette zone<UIGlow>01</UIGlow><UIForeground>01</UIForeground>.
Assurez-vous que tous les équipiers sont là avant d'engager la lutte.","",""
107,1,0,150574,0,"Si vous tombez inconscient(e) en cours de route, vous pouvez soit choisir de retourner à l'entrée du donjon, soit attendre qu'un équipier vous ressuscite.","",""
108,0,0,0,0,"","",""
109,0,0,0,0,"","",""
