key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
8,"Cosmo-navette centrale<Indent/>: terminée
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette centrale<Indent/>: chantier terminé","L'installation du système de navettes est terminée<Indent/>! L'exploration va pouvoir se poursuivre à grande vitesse, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette centrale est terminée ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",2,False,158,8,0,241004,1405,18,1,6,0,2,3,0,0,0,0,0,0,0,0,0
9,"Modules d'habitation/cosmoport<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Modules d'habitation et cosmoport<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour construire des modules d'habitation et un cosmoport<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous souhaitons maintenant agrandir la station avec des modules d'habitation 
et un cosmoport ! Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",2,False,158,9,0,241005,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
10,"Modules d'habitation<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Modules d'habitation<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à construire des modules d'habitation va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour la con<SoftHyphen/>struc<SoftHyphen/>tion 
des modules d'habitation ! Venez nous filer un coup de main !","Searchingway",2,False,158,10,0,241005,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
11,"Modules d'habitation<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Modules d'habitation<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à construire des modules d'habitation est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion des modules d'habitation !","Searchingway",2,False,158,11,0,241005,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
12,"Cosmoport<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmoport<Indent/>: collecte des matériaux","Un projet d'ouvrage collectif visant à construire un cosmoport va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion du cosmoport ! Venez nous filer un coup de main !","Searchingway",3,False,158,12,0,241006,1401,18,2,5,0,2,3,0,0,0,0,0,0,0,0,0
13,"Cosmoport<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmoport<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à construire un cosmoport est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé 
pour la con<SoftHyphen/>struc<SoftHyphen/>tion du cosmoport !","Searchingway",3,False,158,12,0,241006,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
14,"Modules d'habitation/cosmoport<Indent/>: terminés
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Modules d'habitation et cosmoport<Indent/>: chantiers terminés","La con<SoftHyphen/>struc<SoftHyphen/>tion des modules d'habitation et du cosmoport est terminée ! Notre base s'agrandit, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion des modules d'habitation et du cosmoport 
est terminée ! Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",4,False,158,13,0,241007,1401,18,3,5,0,2,3,0,0,0,0,0,0,0,0,0
15,"Hangar bêta<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Hangar bêta<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour agrandir le hangar des machines<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous projetons d'agrandir le hangar des machines ! 
Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",4,False,158,14,0,241008,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
16,"Hangar bêta<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Hangar bêta<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à agrandir le hangar des machines va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour 
l'agrandissement du hangar ! Venez nous filer un coup de main !","Searchingway",4,False,158,15,0,241008,1451,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
17,"Hangar bêta<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Hangar bêta<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à agrandir le hangar des machines est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé 
pour l'agrandissement du hangar !","Searchingway",4,False,158,16,0,241008,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
18,"Hangar bêta<Indent/>: terminé
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Hangar bêta<Indent/>: chantier terminé","L'agrandissement du hangar est terminé ! Les machines seront maintenant plus à l'aise, merci de votre coopération<Indent/>!","L'agrandissement du hangar est terminé ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",5,False,158,17,0,241009,1402,18,4,5,0,2,3,0,0,0,0,0,0,0,0,0
19,"Cosmo-navette nord-ouest<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette nord-ouest<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour construire une cosmo-navette au nord-ouest<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous prévoyons de construire une nouvelle cosmo-navette au nord-ouest 
de la station ! Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",5,False,158,18,0,241010,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
20,"Cosmo-navette nord-ouest<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Encore un peu de patience<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Chantier en cours : Cosmo-navette nord-ouest","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette nord-ouest approche<Indent/>! Encore un peu de patience, et nous pourrons tous en profiter<Indent/>!","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de 
la cosmo-navette nord-ouest est prévue pour bientôt !","Searchingway",5,False,158,18,0,241010,1452,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
21,"Cosmo-navette nord-ouest<Indent/>: terminée
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette nord-ouest<Indent/>: chantier terminé","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette nord-ouest est terminée ! L'exploration dans cette direction va s'accélérer, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette nord-ouest est terminée ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",6,False,158,19,0,241011,1407,18,5,6,0,2,3,0,0,0,0,0,0,0,0,0
22,"Cosmo-navette sud-est<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette sud-est<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour construire une cosmo-navette au sud-est<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous prévoyons de construire une nouvelle cosmo-navette au sud-est de la station ! 
Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",6,False,158,20,0,241012,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
23,"Cosmo-navette sud-est<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Encore un peu de patience<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Chantier en cours : Cosmo-navette sud-est","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-est approche<Indent/>! Encore un peu de patience, et nous pourrons tous en profiter<Indent/>!","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de 
la cosmo-navette sud-est est prévue pour bientôt !","Searchingway",6,False,158,20,0,241012,1452,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0
24,"Cosmo-navette sud-est<Indent/>: terminée
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette sud-est<Indent/>: chantier terminé","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-est est terminée ! L'exploration dans cette direction va s'accélérer, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-est est 
terminée ! Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",7,False,158,21,0,241013,1409,18,6,6,0,2,3,4,6,7,0,0,0,0,0,0
25,"Tunnel de Piercingway<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour creuser un tunnel à travers la montagne<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous comptons creuser un tunnel à travers la montagne ! 
Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",7,False,158,22,0,241014,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
26,"Tunnel de Piercingway 1<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway 1<Indent/>: préparation du chantier","Un premier projet d'ouvrage collectif visant à construire un tunnel à travers la montagne va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un premier projet d'ouvrage collectif va bientôt être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel de Piercingway ! Venez nous filer un coup de main !","Searchingway",7,False,158,23,0,241014,1451,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
27,"Tunnel de Piercingway 1<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway 1<Indent/>: chantier en cours","Un premier projet d'ouvrage collectif visant à construire un tunnel à travers la montagne est en cours<Indent/>! Merci de participer<Indent/>!","Le premier projet d'ouvrage collectif vient d'être lancé 
pour la con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel de Piercingway !","Searchingway",7,False,158,24,0,241014,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
28,"Tunnel de Piercingway 2<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway 2<Indent/>: préparation du chantier","Un second projet d'ouvrage collectif visant à construire un tunnel à travers la montagne va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un second projet d'ouvrage collectif va bientôt être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel de Piercingway ! Venez nous filer un coup de main !","Searchingway",8,False,158,25,0,241015,1401,18,7,5,0,2,3,4,6,7,0,0,0,0,0,0
29,"Tunnel de Piercingway 2<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway 2<Indent/>: chantier en cours","Un second projet d'ouvrage collectif visant à construire un tunnel à travers la montagne est en cours<Indent/>! Merci de participer<Indent/>!","Le second projet d'ouvrage collectif vient d'être lancé 
pour la con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel de Piercingway !","Searchingway",8,False,158,25,0,241015,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
30,"Tunnel de Piercingway<Indent/>: terminé
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Tunnel de Piercingway<Indent/>: chantier terminé","La con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel est terminée<Indent/>! L'exploration peut se poursuivre de l'autre côté de la montagne, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion du tunnel de Piercingway est terminée ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",9,False,158,26,0,241016,1408,18,8,6,0,2,3,4,6,7,0,0,0,0,0,0
31,"Cosmo-navette sud-ouest<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette sud-ouest<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour construire une cosmo-navette au sud-ouest<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous prévoyons de construire une nouvelle cosmo-navette au sud-ouest de la station ! 
Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",9,False,158,27,0,241017,0,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
32,"Cosmo-navette sud-ouest<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Encore un peu de patience<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Chantier en cours : Cosmo-navette sud-ouest","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-ouest approche<Indent/>! Encore un peu de patience, et nous pourrons tous en profiter<Indent/>!","La fin du chantier pour la con<SoftHyphen/>struc<SoftHyphen/>tion de 
la cosmo-navette sud-ouest est prévue pour bientôt !","Searchingway",9,False,158,27,0,241017,1452,0,0,0,0,2,3,4,6,7,0,0,0,0,0,0
33,"Cosmo-navette sud-ouest<Indent/>: terminée
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Cosmo-navette sud-ouest<Indent/>: chantier terminé","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-ouest est terminée ! L'exploration dans cette direction va s'accélérer, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion de la cosmo-navette sud-ouest est terminée ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",10,False,158,28,0,241018,1412,18,9,6,0,2,3,4,6,7,8,0,0,0,0,0
34,"Campement gamma<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement gamma<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour agrandir la station sélénienne<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous comptons effectuer un nouvel agrandissement de la station sélénienne ! 
Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",10,False,158,29,0,241019,0,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
35,"Campement gamma<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement gamma<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à agrandir la station sélénienne va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé en vue 
d'agrandir un peu plus la station ! Venez nous filer un coup de main !","Searchingway",10,False,158,30,0,241019,1451,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
36,"Campement gamma<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement gamma<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à agrandir la station sélénienne est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé 
afin d'agrandir un peu plus la station !","Searchingway",10,False,158,31,0,241019,0,0,0,0,0,2,3,4,6,7,8,0,0,0,0,0
37,"Campement gamma<Indent/>: terminé
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Campement gamma<Indent/>: chantier terminé","L'agrandissement de la station est terminé<Indent/>! L'exploration va de l'avant, merci de votre coopération<Indent/>!","L'agrandissement de la station est terminé ! 
Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",11,False,158,32,0,241020,1410,18,10,6,1,2,3,5,6,7,8,0,0,0,0,0
38,"Stations énerg./hydro.<Indent/>: coll. matériaux
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez aux missions cosmiques<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Stations énergétique et hydropurificatrice<Indent/>: collecte des matériaux","Nous avons besoin de matériaux pour construire une centrale électrique et une station de purification d'eau<Indent/>! Merci de participer aux missions cosmiques<Indent/>!","Nous prévoyons de construire une centrale électrique et une station de 
purification d'eau ! Nous sommes en train de réunir les matériaux nécessaires !","Searchingway",11,False,158,33,0,241021,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
39,"Station énergétique<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Station énergétique<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à construire une centrale électrique va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour la con<SoftHyphen/>struc<SoftHyphen/>tion 
d'une centrale électrique ! Venez nous filer un coup de main !","Searchingway",11,False,158,34,0,241021,1451,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
40,"Station énergétique<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Station énergétique<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à construire une centrale électrique est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé 
pour la con<SoftHyphen/>struc<SoftHyphen/>tion d'une centrale électrique !","Searchingway",11,False,158,35,0,241021,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
41,"Station hydropurificatrice<Indent/>: préparation
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Tenez-vous prêts<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Station hydropurificatrice<Indent/>: préparation du chantier","Un projet d'ouvrage collectif visant à construire une station de purification d'eau va bientôt commencer<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif va bientôt être lancé pour la con<SoftHyphen/>struc<SoftHyphen/>tion 
d'une station de purification d'eau ! Venez nous filer un coup de main !","Searchingway",12,False,158,36,0,241022,1401,18,11,5,1,2,3,5,6,7,8,0,0,0,0,0
42,"Station hydropurificatrice<Indent/>: en cours
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Participez à l'effort collectif<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Station hydropurificatrice<Indent/>: chantier en cours","Un projet d'ouvrage collectif visant à construire une station de purification d'eau est en cours<Indent/>! Merci de participer<Indent/>!","Un projet d'ouvrage collectif vient d'être lancé pour 
la con<SoftHyphen/>struc<SoftHyphen/>tion d'une station de purification d'eau !","Searchingway",12,False,158,36,0,241022,0,0,0,0,1,2,3,5,6,7,8,0,0,0,0,0
43,"Stations énergétique/hydropurificatrice<Indent/>: terminées
<UIForeground>F2023B</UIForeground><UIGlow>F2023C</UIGlow>Quartier libre<Indent/>!<UIGlow>01</UIGlow><UIForeground>01</UIForeground>","Stations énergétique et hydropurificatrice<Indent/>: chantiers terminés","La con<SoftHyphen/>struc<SoftHyphen/>tion de la centrale électrique et de la station de purification d'eau est terminée ! Nos besoins sont satisfaits, merci de votre coopération<Indent/>!","La con<SoftHyphen/>struc<SoftHyphen/>tion de la centrale électrique et de la station de 
purification d'eau est terminée ! Un grand merci à tous les par<SoftHyphen/>ti<SoftHyphen/>ci<SoftHyphen/>pants !","Searchingway",13,False,158,37,0,241023,1401,18,12,5,1,2,3,5,6,7,8,0,0,0,0,0
