key,0,1,2,3,4,5,6,7,8,9,10
15,69190,0,1,3,1,114709,114109,114409,"Shadowbringers - Kapitel 1","Kapitel 1","Das Garleische Kaiserreich hat seine Provinzen verloren, aber nicht seinen Eroberungswillen. Alle Zeichen stehen auf Krieg, doch <If(PlayerParameter(4))>die Kriegerin<Else/>der Krieger</If> des Lichts ist gezwungen, das Schlachtfeld zu verlassen. Während <If(PlayerParameter(4))>ihre<Else/>seine</If> Gefährten in einem rätselhaften Schlummer daliegen, folgt <If(PlayerParameter(4))>die Heldin<Else/>der Held</If> einem Ruf durch Raum und Zeit in eine andere Welt: den ersten Splitter."
16,69190,0,1,3,2,114710,114110,114410,"Shadowbringers - Kapitel 2","Kapitel 2","<If(PlayerParameter(4))>Die Kriegerin<Else/>Der Krieger</If> der Dunkelheit und <If(PlayerParameter(4))>ihre<Else/>seine</If> Freunde haben dem Großen Wald Rak'tika die Nacht zurückgebracht, doch der Rest von Norvrandt leidet weiterhin unter dem ewigen Licht und den Sünden<SoftHyphen/>ver<SoftHyphen/>tilgern. Die Helden stellen sich einer Heraus<SoftHyphen/>forde<SoftHyphen/>rung nach der anderen, immer gefolgt von dem Ascian Emet-Selch, der ihnen schockierende Wahrheiten offenbart. Sind seine Worte nur Teil seines undurchsichtigen Spiels?"
17,65580,0,3,4,1,114711,114111,114411,"Die Verschlungenen Schatten von Bahamut","Bahamut","Es war das Projekt Meteor, mit dem Legatus Nael van Darnus Bruchstücke des unseligen Mondes Dalamud tief in eorzäischen Boden stürzen ließ. Sie formten ein unterirdisches Labyrinth, in dem die Wahrheit über die Siebte Katastrophe darauf wartet, von todesmutigen Abenteurern entdeckt zu werden."
18,66031,0,3,5,1,114712,114112,114412,"Kristallturm","Kristallturm","Mehr, als dass er in Urzeiten von den Allagern errichtet wurde, ist in den alten Schriften nicht über diesen gewaltigen Turm verzeichnet. Während der Siebten Katastrophe erhob sich das Bauwerk glitzernd aus dem Erdreich von Mor Dhona, doch wird es die in ihm schlummernden Geheimnisse einer neuen Generation von Helden preisgeben?"
19,67875,0,3,4,2,114713,114113,114413,"Alexander","Alexander","Die riesige, burgartige Maschine, die bisher still im Thaliak, einem Fluss im dravanischen Hinterland, gelegen hatte, ist an die Oberfläche gekommen. Die Helden Eorzeas versammeln sich vor der neuen Bedrohung, die man ob ihrer Kraft für einen neuen Primae halten kann, um ein fantastisches Abenteuer zu erleben, das sie über die Grenzen der Zeit hinweg führt."
20,67910,0,3,5,2,114714,114114,114414,"Schatten von Mhach","Schatten von Mhach","Niemand kennt die Sieben Himmel besser als die Luftpiraten, die ihre Luftschiffe auf der Suche nach unbekannten Ländern und vergessenen Schätzen durch das endlose Wolkenmeer steuern. Unter ihnen macht ein Gerücht über ein Geisterschiff im Wolkenmeer die Runde: die Nichts-Arche, von Magiern des Altertums einst zur Rettung vor einer drohenden Flutkatastrophe gebaut. Alle Mann klar zum Entern!"
21,67930,0,3,6,1,114715,114115,114415,"Kriegstriade","Kriegstriade","Drei mächtige Primae ruhen eingeschlossen in den schwebenden Inseln von Azys Lla, doch Sephirot, eine der drei Ikonen, erwacht aus seinem Schlaf. Auf Warnung des maskierten Unukalhai hin treten die Helden des Bundes der Morgenröte der neuen Bedrohung entgegen."
22,68693,0,3,4,3,114716,114116,114416,"Omega","Omega","Cid und Nero aktivierten die uralte Omega-Waffe, um Eorzea vor der Zerstörung durch die Primae zu schützen. Der heftige Kampf mit dem erweckten Shinryu trug die Superwaffe in Richtung Gyr Abania, wo sich jede Spur verlor. Nun entbrennt ausgerechnet im Inter<SoftHyphen/>dimen<SoftHyphen/>sio<SoftHyphen/>nalen Riss ein schier undenkbarer Kampf ..."
23,68725,0,3,5,3,114717,114117,114417,"Rückkehr nach Ivalice","Rückkehr nach Ivalice","Kugane bekommt Besuch von der <Emphasis>Prima Vista</Emphasis>, halb Luftschiff, halb Theater<SoftHyphen/>bühne. Die Schau<SoftHyphen/>spiel<SoftHyphen/>truppe garleischer Exilanten führt das Stück „Die Zodiak-Streiter“ in der Hafenstadt des Ostens auf, in dem es um die Rückkehr in das sagenumwobene Königreich von Ivalice geht. Handelt es sich dabei vielleicht um mehr als nur eine Legende?"
24,68702,0,3,6,2,114718,114118,114418,"Der Mythos der vier Tierheiligen","Die vier Tierheiligen","Die Legende des Samurai Tenzen, der zusammen mit vier heiligen Tieren einen Dämonen vertrieb, ist in ganz Othard bekannt. Doch hinter mancher Legende steckt mehr, als es scheint<Indent/>... Welche Geheimnisse warten in der Rubinsee darauf, enthüllt zu werden?"
25,66038,0,2,7,1,114719,114119,114419,"Hildibrands Fälle","Hildibrands Fälle","Man dachte, er habe sein Leben in der Siebten Katastrophe gelassen, doch gegen diesen ehrenwerten Meisterkriminologen ist kein Gras gewachsen. Hildibrand Manderville stellt seine messerscharfe Kombinationsgabe und seinen todsicheren Spürsinn in den Dienst der Bewohner von Eorzea und lässt keinen Fall ungelöst."
26,67908,0,2,7,2,114720,114120,114420,"Hildibrands Fälle (Heavensward)","Hildibrands Fälle (Heavensward)","Hildibrand verabschiedete sich auf dem Luftweg in Richtung Norden und bleibt verschwunden. Seine treue Assistentin Nashu Mhakaracca macht sich auf den Weg ins eisige Ishgard, um ihren Meister zu finden. In welcher misslichen Lage wird sie den kongenialen Kriminologen antreffen?"
27,68704,0,2,7,3,114721,114121,114421,"Hildibrands Fälle (Stormblood)","Hildibrands Fälle (Stormblood)","Diesmal verabschiedete sich Hildibrand mit einem luftigen Hupfer in den Fernen Osten, doch Nasha Mhakaracca ist ihm bereits auf den Fersen. In Kugane angekommen erfährt sie von Gerüchten über den Einsamen Wolf, einen listigen Dieb. Wo ist der Meisterkriminologe bloß, wenn man am ihn am dringendsten braucht?"
28,67900,0,2,8,1,114722,114122,114422,"Sankt Endalim-Theologikum","Sankt Endalim-Theologikum","Die Wahrheit über die Ursache des Drachenkriegs, die <If(PlayerParameter(4))>die Kriegerin des Lichts und ihre<Else/>der Krieger des Lichts und seine</If> Gefährten aufdeckten, hat das historische und religiöse Fundament der Heiligen Stadt erschüttert. Im Zentrum der Kritik steht das Sankt Endalim-Theologikum, seit Jahrhunderten Ishgards altehrwürdige Ausbildungsstätte des orthodoxen Glaubens. Nun scheint der Umbruch unaufhaltsam. Eine harte Probe erwartet die Adepten<Indent/>..."
29,67015,0,2,9,1,114723,114123,114423,"Drachenkrieg (Epilog)","Drachenkrieg (Epilog)","<If(PlayerParameter(4))>Die Kriegerin<Else/>Der Krieger</If> des Lichts stapft in einer Erinnerungsreise durch den Schnee, um sich die Heraus<SoftHyphen/>forde<SoftHyphen/>rungen und Errungenschaften des zu Ende gebrachten Drachenkrieges noch einmal ins Gedächtnis zu rufen."
30,66075,0,7,10,1,114724,114124,114424,"Zimmerer - Kapitel 1","Kapitel 1","In Gridania, dem grünen Herzen des Finsterwaldes, treffen tüchtige Handwerker auf die höchste Form der Holz<SoftHyphen/>ver<SoftHyphen/>arbeitung. Die Zimmerergilde ist nicht nur ein wichtiges Standbein der Stadt selbst, der Gildenmeister Beatin heißt auch Abenteurer von nah und fern willkommen, die sich an seiner Kunst versuchen wollen. Mit seinem Talent und der tiefen Hingabe zum Material stellt Beatin allerlei Gegenstände her, die das Leben der Gridanier bereichern und erleichtern."
31,67537,0,7,10,2,114725,114125,114425,"Zimmerer - Kapitel 2","Kapitel 2","Es gab großen Tumult um Gairhard, einen engen Freund von Gildenmeister Beautin<Indent/>- erst totgeglaubt, rettete ein von <If(PlayerParameter(4))>der Abenteurerin<Else/>dem Abenteurer</If> eigens hergestellter Bogen ihm schließlich das Leben. So kehrte er mehr oder minder heil zurück und für diese außer<SoftHyphen/>ordent<SoftHyphen/>liche Leistung verlieh Beautin den Titel <If(PlayerParameter(4))>der Meisterzimmerin<Else/>des Meisterzimmerers</If>. Nun schickt er <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> mit einem gebrochenen Speer gen Ishgard, um ihn seinem rechtmäßigen Besitzer zuzuführen."
32,67981,0,7,10,3,114726,114126,114426,"Zimmerer - Kapitel 3","Kapitel 3","Der Speer brachte <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> zu dem Ishgarder Barthovieu, dem <If(PlayerParameter(4))>sie<Else/>er</If> letztendlich selbst einen meisterhaften Speer baute. Mit dessen Hilfe erschlug Barthovieu jenen Drachen, der einst seinem Vater das Leben raubte, und wurde ehrenhaft in die Reihe der Tempelritter aufgenommen. Der Weg <If(PlayerParameter(4))>der Abenteurerin<Else/>des Abenteurers</If> führt <If(PlayerParameter(4))>sie<Else/>ihn</If> nun weiter nach Hingashi, wo <If(PlayerParameter(4))>sie<Else/>ihn</If> die östlichen Künste der Zimmerei erwarten."
33,65838,0,7,11,1,114727,114127,114427,"Grobschmied - Kapitel 1","Kapitel 1","Die Geschichte der limsischen Schmiedekunst ist eng mit den Piraten und den Kobolden verbunden. Auf stetigen Austausch von Techniken und Kenntnissen achtet auch der ansässige Gildenmeister Brithael, der mehr als willig scheint, <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> in den Künsten der Grobschmiederei zu unterrichten. So man sich denn als fähig erweist<Indent/>..."
34,67547,0,7,11,2,114728,114128,114428,"Grobschmied - Kapitel 2","Kapitel 2","Die vielen, vielen Auftragsarbeiten für den Händler Faezahl haben <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> einiges gelehrt und die Schmiedekünste geschliffen. Das erkennt auch Brithael, der <If(PlayerParameter(4))>sie<Else/>ihn</If> zu <If(PlayerParameter(4))>einer Grobschmiedemeisterin<Else/>einem Grobschmiedemeister</If> erklärt und auch prompt einen neuen Kontakt parat hält. Man soll sich doch bitte an einen hochrangigen Adeligen in Ishgard wenden<Indent/>..."
35,68155,0,7,11,3,114729,114129,114429,"Grobschmied - Kapitel 3","Kapitel 3","In Ishgard unterstützt <If(PlayerParameter(4))>die Abenteurerin<Else/>der Abenteurer</If> Baronin Laurisse Jervaint dabei, die Ehre ihres gefallenen Hauses wie<SoftHyphen/>der<SoftHyphen/>her<SoftHyphen/>zu<SoftHyphen/>stel<SoftHyphen/>len. Dafür bedarf es all <If(PlayerParameter(4))>ihrer<Else/>seiner</If> Schmiedekünste, um das Familienschwert zu neuem Glanz zu bringen und der Adeligen so zu einem Tempelritter-Rang zu verhelfen. Mit dieser guten Tat kehrt <If(PlayerParameter(4))>sie<Else/>er</If> Ishgard nun aber den Rücken und wendet sich gen Osten, wo weitere Heraus<SoftHyphen/>forde<SoftHyphen/>rungen warten."
36,65820,0,7,12,1,114730,114130,114430,"Plattner - Kapitel 1","Kapitel 1","Die hochspezialisierten Plattner und ihre Gilde entstammen Limsa Lominsas berühmter Schmiedekunst. Ihre Speerpitze ist Gildenmeisterin H'naanza, die genauso viel auf Tradition wie auf die Qualität ihrer Rüstungen gibt. <If(PlayerParameter(4))>Die Abenteurerin<Else/>Der Abenteurer</If> trifft auf einen ihrer Lehrlinge, der <If(PlayerParameter(4))>ihre<Else/>seine</If> Neugier auf diese besondere Form des Schmiedens weckt<Indent/>..."
37,67578,0,7,12,2,114731,114131,114431,"Plattner - Kapitel 2","Kapitel 2","Die herausragenden Fä<SoftHyphen/>hig<SoftHyphen/>kei<SoftHyphen/>ten als <If(PlayerParameter(4))>Plattnerin<Else/>Plattner</If> beeindruckten nicht nur Admiral Merlwyb selbst, sie brachten <If(PlayerParameter(4))>der Abenteurerin<Else/>dem Abenteurer</If> auch den Sieg über Blanstyr im Gildenwettstreit ein. Das hat Blanstyr auf den Boden der Tatsachen zurückgeholt und der hitzköpfige Roegadyn konnte sogar den ein oder anderen Kniff lernen."
38,68134,0,7,12,3,114732,114132,114432,"Plattner - Kapitel 3","Kapitel 3","Blanstyr hat sich zu einer regelrechten Plattner-Koryphäe entwickelt, die Aufträge nehmen gar kein Ende! Doch der rastlose Roegadyn verfolgt höhere Ziele<Indent/>- man soll in den Fernen Osten reisen, wo er durch kulturellen Austausch auf gänzlich neue Techniken und Methoden hofft."
39,66194,0,7,13,1,114733,114133,114433,"Goldschmied - Kapitel 1","Kapitel 1","Ul'dah ist als das funkelnde Juwel Thanalans bekannt, nicht zuletzt durch ihren Reichtum an Gold, Silber und Edelsteinen. Es gäbe keinen passenderen Sitz für die Gilde der Goldschmiede, angeführt von ihrer edlen Meisterin Serendipity. Gemeinsam mit ihrer scharfzüngigen Assistentenmarionette lehrt sie die Kunst des Goldschmiedens all jenen, die sich der fordernden Kunst gewachsen fühlen."
40,67610,0,7,13,2,114734,114134,114434,"Goldschmied - Kapitel 2","Kapitel 2","Der verrufene Jadefuchs ist endlich gefasst und die Marionette Gigi repariert<Indent/>- all das dank der  nimmermüden Bemühungen <If(PlayerParameter(4))>der Abenteurerin<Else/>des Abenteurers</If>! Serendipity ist tief beeindruckt von <If(PlayerParameter(4))>ihrer<Else/>seiner</If> Entwicklung und macht deutlich, dass <If(PlayerParameter(4))>sie<Else/>er</If> alles von ihr gelernt hat, was es zu lernen gibt. Daher stellt sie <If(PlayerParameter(4))>ihr<Else/>ihm</If> dem Schmuckhändler Eshtaime vor, um <If(PlayerParameter(4))>ihren<Else/>seinen</If> Werdegang auch weiterhin zu fördern."
41,68139,0,7,13,3,114735,114135,114435,"Goldschmied - Kapitel 3","Kapitel 3","Man hat sich der schier unmöglichen Heraus<SoftHyphen/>forde<SoftHyphen/>rung gestellt, zwei miteinander harmonierende Spieldosen herzustellen, die das Jubiläum eines ganz besonderen Pärchens feiern sollen. Diese Meisterwerke haben den Ruf <If(PlayerParameter(4))>der Abenteurerin<Else/>des Abenteurers</If> weit getragen, bis an die Ohren einer sehr speziellen Auftraggeberin<Indent/>..."
42,65602,0,7,14,1,114736,114136,114436,"Gerber - Kapitel 1","Kapitel 1","Seit Jahrhunderten ist der Finsterwald das Herz der eorzäischen Jagdbräuche und Gridania somit der unangefochtene Mittelpunkt der Lederverarbeitung. Beinahe genauso alt ist die Gerbergilde, angeführt von der genialen Gildenmeisterin Geva. Nichts ist für sie wichtiger als das Leben zu ehren, aus dem ihre Kunst entsteht. Doch nicht alle Gerber teilen ihre noblen Ansichten."
43,67615,0,7,14,2,114737,114137,114437,"Gerber - Kapitel 2","Kapitel 2","Lange lagen <If(PlayerParameter(4))>die Abenteurerin<Else/>der Abenteurer</If> und Geva im Clinch mit der neuen Ledermarke Angrbotha, die trotz Betrügerei und Ruchlosigkeit letztlich den Kürzeren ziehen musste. <If(PlayerParameter(4))>Ihre<Else/>Seine</If> Werke waren es, die bei der alles entscheidenden Produktschau allen den Atem raubten und ein für allemal bewiesen, dass Gevas Weg des Gerbens der bessere ist. Nun schickt die Gildenmeisterin <If(PlayerParameter(4))>die Kriegerin des Lichts<Else/>den Krieger des Lichts</If> gen Ishgard, wo eine aufstrebende Händlerin auf <If(PlayerParameter(4))>sie<Else/>ihn</If> wartet."
44,68151,0,7,14,3,114738,114138,114438,"Gerber - Kapitel 3","Kapitel 3","Gemeinsam mit Elde hat <If(PlayerParameter(4))>die Abenteurerin<Else/>der Abenteurer</If> die hohe Kunst der gridanischen Gerberei auch in Ishgard verbreitet und die halbe Stadt mit exquisiten Waren beliefert. Eine Entwicklung, die natürlich auch Gildenmeisterin Gevas Herz höher schlagen lässt. Als <If(PlayerParameter(4))>wahre Meisterin<Else/>wahrer Meister</If> des Fachs erwartet <If(PlayerParameter(4))>die Kriegerin des Lichts<Else/>den Krieger des Lichts</If> nun ein Auftrag von einer hochspezialisierten Forscherin."
45,66190,0,7,15,1,114739,114139,114439,"Weber - Kapitel 1","Kapitel 1","Die Kunst des Webens zieht ihre Fäden quer durch Thanalans Geschichte und ist eng mit dem Reichtum ihrer Hauptstadt verwoben. Doch extrem günstige Importware aus fernen Landen bedroht die lokale Handwerkskunst. Dieser Gefahr stellt sich Duftende Rose, der Meister der Webergilde, mit exquisiter Qualität entgegen. Sein erstes Ziel ist es, Thanalans Minenarbeitern zu besseren Klamotten zu verhelfen."
46,67542,0,7,15,2,114740,114140,114440,"Weber - Kapitel 2","Kapitel 2","Es war ein steiniger Weg, über den der Minenarbeiter Wawarukka und die Händlerstochter Kokomo zueinander gefunden haben. Erst der feinste Zwirn, der Nadel <If(PlayerParameter(4))>der Abenteurerin<Else/>des Abenteurers</If> entsprungen, half der jungen Liebe, ihre zarten Blüten zu entfalten. Duftende Rose ist zwar hingerissen von all dem Fortschritt, hat jedoch mehr zu tun als jemals zuvor und schickt <If(PlayerParameter(4))>die Kriegerin des Lichts<Else/>den Krieger des Lichts</If> daher ins kalte Ishgard, um <If(PlayerParameter(4))>ihre<Else/>seine</If> Künste anderswo zu vertiefen. "
47,67971,0,7,15,3,114741,114141,114441,"Weber - Kapitel 3","Kapitel 3","In Ishgard wartet Averil, eine junge Adelige, die an der Weberei selbst wenig Interesse hat. Stattdessen näht <If(PlayerParameter(4))>die Abenteurerin<Else/>der Abenteurer</If> ihr die passenden Gewänder, damit sie ihrem Liebsten als Heilerin auf dem Schlachtfeld zur Seite stehen kann. Nachdem sich das Paar verabschiedet hat, hält Duftende Rose auch schon den nächsten Kontakt bereit."
48,66186,0,7,16,1,114742,114142,114442,"Alchemist - Kapitel 1","Kapitel 1","Frondales Physiatrische Akademie in Ul'dah ist eine Hochburg der Medizin und Alchemie. So ist es nicht verwunderlich, dass sich die klügsten Köpfe um den exzentrischen, genialen Severian scharten und der kurzerhand die Alche<SoftHyphen/>misten<SoftHyphen/>gilde gründete. Eben jener Gildenmeister verpflichtet <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> nun, ihm bei der Erforschung des größten alchemistischen Geheimnisses zu assistieren."
49,67605,0,7,16,2,114743,114143,114443,"Alchemist - Kapitel 2","Kapitel 2","Vor Severian ist wirklich kein Geheimnis sicher und der scharfsinnige Forscher schafft es tatsächlich, seine verstorbene Geliebte von den Toten wiederauferstehen zu lassen. Zumindest lange genug für ein kurzes, warmes Wieder<SoftHyphen/>sehen, das ihn von seiner schweren Last befreit. Nun steckt er voller neuem Tatendrang und betraut <If(PlayerParameter(4))>die Abenteurerin<Else/>den Abenteurer</If> mit einer oberflächlich sehr trivialen Aufgabe."
50,67976,0,7,16,3,114744,114144,114444,"Alchemist - Kapitel 3","Kapitel 3","Gemeinsam mit Wiltwaek und Chanene hat <If(PlayerParameter(4))>die Kriegerin des Lichts<Else/>der Krieger des Lichts</If> <If(PlayerParameter(4))>ihre<Else/>seine</If> investigative Seite erkundet und letztlich einen garstigen Mörder gestellt. Einfach war die Sache nicht, doch alchemistisches Fachwissen hat viel zu einem guten Ende beigetragen. Severian wartet allerdings gleich mit der nächsten morbiden Aufgabe<Indent/>- es geht um einen nicht verwesenden Leichnam auf Ul'dahs Friedhof."
51,65806,0,7,17,1,114745,114145,114445,"Gourmet - Kapitel 1","Kapitel 1","Die Berge, das Meer und blühender Handel - Limsa Lominsa hat die beste Kombination an Zutaten, die es für eine vielfältige und exquisite kulinarische Geschichte braucht. So ist es nicht verwunderlich, dass sich die Gourmet-Gilde in dem Stadt<SoftHyphen/>staat niedergelassen hat und im Restaurant Bismarck auch bestens vertreten ist. Chefkoch des Ganzen ist Lyngsath, der seine köstlichen Kreationen auch willigen <If(PlayerParameter(4))>Aben<SoftHyphen/>teu<SoftHyphen/>re<SoftHyphen/>rin<SoftHyphen/>nen<Else/>Abenteurern</If> nicht verwehrt."
52,67583,0,7,17,2,114746,114146,114446,"Gourmet - Kapitel 2","Kapitel 2","Man tischt Sultana Nanamo die erlesensten Speisen auf und erfreut damit nicht nur ihren Gaumen, sondern durchkreuzt damit auch die finsteren Pläne von Lolorito. Der Ruf der Gourmet-Gilde ist gerettet und <If(PlayerParameter(4))>die Kriegerin des Lichts<Else/>der Krieger des Lichts</If> erweist sich als wahrlich<If(PlayerParameter(4))>e Meisterköchin<Else/>er Meisterkoch</If>! Lyngsath ist ähnlich begeistert von diesem Können und will <If(PlayerParameter(4))>sie<Else/>ihn</If> den Leichtblütigen Sirenen vorstellen, um <If(PlayerParameter(4))>ihren<Else/>seinen</If> Ruf weiter zu verbreiten."
