key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
8,12,0,20,1000,15000,20,0,2,"Unterstützung eines Grenzpostens","Die <Switch(IntegerParameter(1))><Case(1)>in Camp Schädeltal</Case><Case(2)>an Eugenias Wachturm</Case><Case(3)>in Klein-Ala Mhigo</Case></Switch> stationierten Truppen leiden unter heftigen Angriffen der <Switch(IntegerParameter(1))><Case(1)>Kobolde</Case><Case(2)>Ixal</Case><Case(3)>Amalj'aa</Case></Switch> und haben ein dringendes Hilfsgesuch geschickt. Der Befehl lautet: Die Truppen im Kampf gegen den Wilden Stamm unterstützen!",0,0,0,0,0,0,0,0,0,0,0,0,265,410,265,140,410,125,20,20,20,20,20,20,140,145,435,265,270,435,20,20,20,20,20,20,420,270,125,420,145,265,20,20,20,20,20,20,20,20,20,20,20,20
9,12,0,20,1000,16500,20,0,2,"Geleit einer Befehlshaberin","Eine hochrangige Befehlshaberin <Switch(IntegerParameter(1))><Case(1)>der Bruderschaft</Case><Case(2)>der Legion</Case><Case(3)>des Mahlstroms</Case></Switch> kommt für eine wichtige Lagebesprechung nach <Switch(IntegerParameter(1))><Case(1)>Limsa Lominsa</Case><Case(2)>Gridania</Case><Case(3)>Ul'dah</Case></Switch>. Der Befehl lautet: Den Luftschiff-Landeplatz sichern und der Besucherin Geleit geben!",0,0,0,0,0,0,0,0,0,0,0,0,270,130,270,145,415,415,20,20,20,20,20,20,440,440,145,270,275,150,20,20,20,20,20,20,130,270,425,425,150,275,20,20,20,20,20,20,20,20,20,20,20,20
10,12,0,25,1000,19500,20,0,2,"Sicherung der Handelsstraßen","Wegelagerer bedrohen die Sicherheit der Handelsrouten <Switch(IntegerParameter(1))><Case(1)>im östlichen La Noscea</Case><Case(2)>im Südwald</Case><Case(3)>im südlichen Thanalan</Case></Switch>. Der Befehl lautet: Die wichtigsten Handelsstraßen sichern und die fahrenden Kaufleute beschützen!",0,0,0,0,0,0,0,0,0,0,0,0,425,140,280,425,280,155,20,20,20,20,20,20,285,450,155,160,450,280,20,20,20,20,20,20,160,280,435,285,140,435,20,20,20,20,20,20,20,20,20,20,20,20
11,12,0,30,1000,22500,20,0,2,"Störaktion in einem feindlichen Lager","<Switch(IntegerParameter(1))><Case(1)>Das Flotten<SoftHyphen/>kommando fürchtet</Case><Case(2)>Die Priester im Abaton fürchten</Case><Case(3)>Die Stabsoffiziere in der Ewigen Halle fürchten</Case></Switch> einen bevorstehenden Angriff <Switch(IntegerParameter(1))><Case(1)>der Kobolde</Case><Case(2)>der Ixal</Case><Case(3)>der Amalj'aa</Case></Switch>. Der Befehl lautet: In <Switch(IntegerParameter(1))><Case(1)>die Koboldgrube</Case><Case(2)>den Ixal-Kahlhieb</Case><Case(3)>das Amalj'aa-Feldlager</Case></Switch> eindringen, die feindlichen Operationen stören und strategische Informationen sammeln!",0,0,0,0,0,0,0,0,0,0,0,0,170,440,440,295,155,295,20,20,20,20,20,20,295,300,175,465,465,170,20,20,20,20,20,20,450,175,300,155,295,450,20,20,20,20,20,20,20,20,20,20,20,20
12,12,0,35,1000,25500,20,0,2,"Rettung einer verbündeten Einheit","Die Einheit eines verbündeten Stadt<SoftHyphen/>staates ist <Switch(IntegerParameter(1))><Case(1)>im äußeren La Noscea</Case><Case(2)>im Nordwald</Case><Case(3)>im nördlichen Thanalan</Case></Switch> verschollen gegangen. Unmittelbare Feindeinwirkung ist nicht auszuschließen. Der Befehl lautet: Die befreundete Einheit finden und retten!",0,0,0,0,0,0,0,0,0,0,0,0,310,185,455,170,310,455,20,20,20,20,20,20,480,310,315,480,185,190,20,20,20,20,20,20,170,465,190,310,465,315,20,20,20,20,20,20,20,20,20,20,20,20
13,12,0,35,1000,27000,20,0,2,"Gemeinsame Manöverübung","Die Eorzäische Allianz hält eine gemeinsame Truppenübung ab. Der Befehl lautet: Als Vertreter <Switch(IntegerParameter(1))><Case(1)>des Mahlstroms</Case><Case(2)>der Bruderschaft</Case><Case(3)>der Legion</Case></Switch> an der Übung teilnehmen und unserem Stadt<SoftHyphen/>staat zur Ehre gereichen!",14945,14945,14945,14945,14945,14945,1,1,1,1,1,1,455,310,170,310,185,455,20,20,20,20,20,20,190,480,480,185,310,315,20,20,20,20,20,20,315,170,310,465,465,190,20,20,20,20,20,20,20,20,20,20,20,20
14,13,15,40,4000,30000,0,0,2,"★ Sicherstellung von Kristallvorräten","Der Feind plant eine weitere Beschwörung von <Switch(IntegerParameter(1))><Case(1)>Titan</Case><Case(2)>Garuda</Case><Case(3)>Ifrit</Case></Switch>. Unsere Truppen werden in <Switch(IntegerParameter(1))><Case(1)>die Koboldgrube</Case><Case(2)>den Ixal-Kahlhieb</Case><Case(3)>das Amalj'aa-Feldlager</Case></Switch> eindringen und die gehorteten Kristalle sichern. Der Befehl lautet: Bei der Erbeutung der Kristalle assistieren!",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
15,16,17,40,4000,30000,0,0,2,"★ Sicherstellung von Kristallvorräten","Der Feind plant eine weitere Beschwörung von <Switch(IntegerParameter(1))><Case(1)>Titan</Case><Case(2)>Garuda</Case><Case(3)>Ifrit</Case></Switch>. Unsere Truppen werden in <Switch(IntegerParameter(1))><Case(1)>die Koboldgrube</Case><Case(2)>den Ixal-Kahlhieb</Case><Case(3)>das Amalj'aa-Feldlager</Case></Switch> eindringen und die gehorteten Kristalle sichern. Der Befehl lautet: Bei der Erbeutung der Kristalle assistieren!",0,0,0,0,0,0,0,0,0,0,0,0,315,315,315,315,315,315,0,0,0,0,0,0,325,325,325,325,325,325,0,0,0,0,0,0,340,340,340,340,340,340,0,0,0,0,0,0,100,100,100,100,100,100
16,15,0,40,2000,30000,20,0,3,"Festnahme eines Kommandanten","<Switch(IntegerParameter(1))><Case(1)>Das Flotten<SoftHyphen/>kommando will</Case><Case(2)>Die Priester im Abaton wollen</Case><Case(3)>Die Stabsoffiziere in der Ewigen Halle wollen</Case></Switch> eines feindlichen Ober<SoftHyphen/>kommandanten habhaft werden und <Switch(IntegerParameter(1))><Case(1)>plant</Case><Case(2)>planen</Case><Case(3)>planen</Case></Switch> einen Überfall auf <Switch(IntegerParameter(1))><Case(1)>die U'Ghamaro-Minen</Case><Case(2)>Natalan</Case><Case(3)>Zahar'ak</Case></Switch>. Der Befehl lautet: Zu den Angriffstruppen stoßen und den Vorstoß decken!",14946,14946,14946,14946,14946,14946,5,5,5,5,5,5,530,530,385,245,385,265,20,20,20,20,20,20,385,275,560,560,265,385,20,20,20,20,20,20,275,385,245,385,540,540,20,20,20,20,20,20,20,20,20,20,20,20
17,15,0,40,2000,30000,20,0,3,"Festnahme eines Waffenhändlers","Unsere Spitzel haben illegale Waffengeschäfte innerhalb unseres Hoheitsgebiets ausgekund- schaftet. Der Befehl lautet: Den Waffenhändler fassen, tot oder lebendig!",14947,14947,14947,14947,14947,14947,5,5,5,5,5,5,385,245,385,265,530,530,20,20,20,20,20,20,560,560,265,385,385,275,20,20,20,20,20,20,245,385,540,540,275,385,20,20,20,20,20,20,20,20,20,20,20,20
18,15,0,40,2000,30000,20,0,3,"Bespitzelung eines Castrums","Vorgerückte Späher der Eorzäischen Allianz haben verdächtige Aktivitäten nahe <Switch(IntegerParameter(1))><Case(1)>Castrum Occidens</Case><Case(2)>Castrum Centri</Case><Case(3)>Castrum Meridianum</Case></Switch> ausgemacht. Der Befehl lautet: Dem Castrum nähern und Informationen über die Truppen- bewegungen sammeln!",14948,14948,14948,14948,14948,14948,5,5,5,5,5,5,385,265,530,530,385,245,20,20,20,20,20,20,265,385,385,275,560,560,20,20,20,20,20,20,540,540,275,385,245,385,20,20,20,20,20,20,20,20,20,20,20,20
19,15,0,40,2000,30000,20,0,3,"Festnahme garleischer Deserteure","Im <Switch(IntegerParameter(1))><Case(1)>östlichen La Noscea</Case><Case(2)>Ostwald</Case><Case(3)>nördlichen Thanalan</Case></Switch> wurden garleische Deserteure gesichtet. Der Befehl lautet: Die Überläufer aufstöbern und festnehmen!",14949,14949,14949,14949,14949,14949,5,5,5,5,5,5,530,385,245,385,265,530,20,20,20,20,20,20,275,560,560,265,385,385,20,20,20,20,20,20,385,245,385,540,540,275,20,20,20,20,20,20,20,20,20,20,20,20
20,15,0,40,2000,30000,20,0,3,"Scharmützel mit den Garlear","Die Eorzäische Allianz will in Mor Dhona mehr Präsenz zeigen und das Garleische Kaiserreich in Scharmützel verwickeln. Der Befehl lautet: An der Operation teilnehmen und siegreich zurückkehren!",14950,14950,14950,14950,14950,14950,5,5,5,5,5,5,245,385,265,530,530,385,20,20,20,20,20,20,560,265,385,385,275,560,20,20,20,20,20,20,385,540,540,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
21,15,0,40,2000,30000,20,0,3,"Störung der Versorgungslinien","<Switch(IntegerParameter(1))><Case(1)>Das Flotten<SoftHyphen/>kommando treibt</Case><Case(2)>Die Priester im Abaton treiben</Case><Case(3)>Die Stabsoffiziere in der Ewigen Halle treiben</Case></Switch> einen Angriffsplan voran, um die Versorgungslinien <Switch(IntegerParameter(1))><Case(1)>der Sahagin im westlichen La Noscea</Case><Case(2)>der Ixal im Nordwald</Case><Case(3)>der Amalj'aa im südlichen Thanalan</Case></Switch> zu schwächen. Der Befehl lautet: Den Vormarsch der Truppen flankieren!",14951,14951,14951,14951,14951,14951,5,5,5,5,5,5,265,530,530,385,245,385,20,20,20,20,20,20,385,385,275,560,560,265,20,20,20,20,20,20,540,275,385,245,385,540,20,20,20,20,20,20,20,20,20,20,20,20
22,15,0,40,2000,30000,20,0,3,"Festnahme einer Verbrecherin","<Switch(IntegerParameter(1))><Case(1)>Agenten der Legion</Case><Case(2)>Agenten des Mahlstroms</Case><Case(3)>Agenten der Bruderschaft</Case></Switch> haben eine steckbrieflich gesuchte Verbrecherin <Switch(IntegerParameter(1))><Case(1)>in La Noscea</Case><Case(2)>im Finsterwald</Case><Case(3)>in Thanalan</Case></Switch> aufgespürt. Der Befehl lautet: Den Sonderermittlern bei der Festnahme der Verbrecherin assistieren!",14952,14952,14952,14952,14952,14952,5,5,5,5,5,5,530,530,245,385,265,385,20,20,20,20,20,20,275,385,560,560,385,265,20,20,20,20,20,20,385,275,385,245,540,540,20,20,20,20,20,20,20,20,20,20,20,20
23,15,0,40,2000,30000,20,0,3,"Überfall auf eine garleische Einheit","Unsere Späher melden, dass sich eine frische Reserveeinheit auf dem Weg nach <Switch(IntegerParameter(1))><Case(1)>Castrum Occidens</Case><Case(2)>Castrum Centri</Case><Case(3)>Castrum Meridianum</Case></Switch> befindet. Der Befehl lautet: Einen Hinterhalt legen und die garleische Einheit auslöschen!",14953,14953,14953,14953,14953,14953,5,5,5,5,5,5,245,385,265,385,530,530,20,20,20,20,20,20,560,560,385,265,275,385,20,20,20,20,20,20,385,245,540,540,385,275,20,20,20,20,20,20,20,20,20,20,20,20
24,15,0,40,2000,30000,20,0,3,"Beseitigung einer Chimäre","Spielende Kinder haben <Switch(IntegerParameter(1))><Case(1)>den gigantischen Minotaurus</Case><Case(2)>die extrem magiebegabte Lamia</Case><Case(3)>die wilde Chimära</Case></Switch> in unserem Hoheitsgebiet entdeckt. Der Befehl lautet: Die widerliche Bestie aufspüren und ohne Rücksicht beseitigen!",14954,14954,14954,14954,14954,14954,5,5,5,5,5,5,265,385,530,530,245,385,20,20,20,20,20,20,385,265,275,385,560,560,20,20,20,20,20,20,540,540,385,275,385,245,20,20,20,20,20,20,20,20,20,20,20,20
25,15,0,50,3000,37500,20,0,3,"Überfall auf die Wilden","Es mehren sich Beweise, dass die <Switch(IntegerParameter(1))><Case(1)>Kobolde</Case><Case(2)>Ixal</Case><Case(3)>Amalj'aa</Case></Switch> eine neue Primae-Beschwörung vorbereiten. Der Befehl lautet: <Switch(IntegerParameter(1))><Case(1)>Slafswys</Case><Case(2)>Dariustel</Case><Case(3)>Alianne</Case></Switch> vor Ort treffen und nach Kräften unterstützen!",14946,14946,14946,14946,14946,14946,10,10,10,10,10,10,295,430,590,590,275,430,20,20,20,20,20,20,430,295,305,430,620,620,20,20,20,20,20,20,600,600,430,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
26,15,0,50,3000,37500,20,0,3,"Garleische Waffenübung","<Switch(IntegerParameter(1))><Case(1)>Das Flotten<SoftHyphen/>kommando will</Case><Case(2)>Die Priester im Abaton wollen</Case><Case(3)>Die Stabsoffiziere in der Ewigen Halle wollen</Case></Switch> eine Übung mit einer erbeuteten garleischen Kampfmaschine abhalten. Der Befehl lautet: An der Übung teilnehmen!",14947,14947,14947,14947,14947,14947,10,10,10,10,10,10,275,430,295,430,590,590,20,20,20,20,20,20,620,620,430,295,305,430,20,20,20,20,20,20,430,275,600,600,430,305,20,20,20,20,20,20,20,20,20,20,20,20
27,15,0,50,3000,37500,20,0,3,"Befreiung der entführten Bürger","<Switch(IntegerParameter(1))><Case(1)>Die von den Ixal gesteuerte Piratenbande der Plündernden Schlangen verschleppt</Case><Case(2)>Eine Panzerballon-Einheit der Ixal verschleppt</Case><Case(3)>Die Flammenfänge der Amalj'aa verschleppen</Case></Switch> wehrlose Bürger! Es wird vermutet, dass die armen Seelen einem Primae geopfert werden sollen. Der Befehl lautet: Das feindliche Lager stürmen und die Entführten befreien!",14948,14948,14948,14948,14948,14948,10,10,10,10,10,10,590,590,275,430,295,430,20,20,20,20,20,20,305,430,620,620,430,295,20,20,20,20,20,20,430,305,430,275,600,600,20,20,20,20,20,20,20,20,20,20,20,20
28,15,0,50,3000,37500,20,0,3,"Eliminierung der Waffendiebe","Eine Splittergruppe der <Switch(IntegerParameter(1))><Case(1)>Mamool Ja</Case><Case(2)>Coeurlklauen</Case><Case(3)>Leichenbrigade</Case></Switch> überfällt unsere Waffentransporte. Der Befehl lautet: Die Waffendiebe vor Ort eliminieren!",14949,14949,14949,14949,14949,14949,10,10,10,10,10,10,295,590,590,430,275,430,20,20,20,20,20,20,430,430,305,620,620,295,20,20,20,20,20,20,600,305,430,275,430,600,20,20,20,20,20,20,20,20,20,20,20,20
29,15,0,50,3000,37500,20,0,3,"Vertreibung der Kultisten","Die Jünger Dalamuds sind in illegale Aktivitäten verwickelt und verbreiten die Kunde von ihrem hasserfüllten Kult. Der Befehl lautet: Als Zivilisten verkleidet in <Switch(IntegerParameter(1))><Case(1)>Limsa Lominsa</Case><Case(2)>Gridania</Case><Case(3)>Ul'dah</Case></Switch> patrouillieren und die Kultisten vertreiben!",14950,14950,14950,14950,14950,14950,10,10,10,10,10,10,275,430,295,590,590,430,20,20,20,20,20,20,620,295,430,430,305,620,20,20,20,20,20,20,430,600,600,305,430,275,20,20,20,20,20,20,20,20,20,20,20,20
30,15,0,50,3000,37500,20,0,3,"Verfolgung eines Nichtsgesandten","In unserem Einflussbereich wurde ein tobender Nichts<SoftHyphen/>gesand<SoftHyphen/>ter gesichtet. Der Befehl lautet: Den <Switch(IntegerParameter(1))><Case(1)>Sukkubus</Case><Case(2)>Troubadour</Case><Case(3)>Anchag</Case></Switch> aufstöbern und beseitigen!",14951,14951,14951,14951,14951,14951,10,10,10,10,10,10,590,430,275,430,295,590,20,20,20,20,20,20,305,620,620,295,430,430,20,20,20,20,20,20,430,275,430,600,600,305,20,20,20,20,20,20,20,20,20,20,20,20
31,15,0,50,3000,37500,20,0,3,"Ausschaltung von Kampfmaschinen","Zurückgelassene garleische Kampf<SoftHyphen/>maschinen haben in einen automatischen Berzerker-Modus geschaltet und bedrohen wehrlose Reisende. Der Befehl lautet: Einen Mechaniker unserer Ge<SoftHyphen/>sell<SoftHyphen/>schaft treffen und die Kampf<SoftHyphen/>maschinen ausschalten!",14952,14952,14952,14952,14952,14952,10,10,10,10,10,10,430,295,590,590,430,275,20,20,20,20,20,20,295,430,430,305,620,620,20,20,20,20,20,20,600,600,305,430,275,430,20,20,20,20,20,20,20,20,20,20,20,20
32,15,0,50,3000,37500,20,0,3,"Unterbindung illegaler Versuche","Eine Teilgruppe der Indigo-Hand führt auf unserem Gebiet nicht authorisierte Versuche mit Gob<SoftHyphen/>stampfern aus. Der Befehl lautet: Die Versuche unterbinden und die Ver<SoftHyphen/>ant<SoftHyphen/>wort<SoftHyphen/>li<SoftHyphen/>chen dingfest machen!",14953,14953,14953,14953,14953,14953,10,10,10,10,10,10,430,275,430,295,590,590,20,20,20,20,20,20,620,620,295,430,430,305,20,20,20,20,20,20,275,430,600,600,305,430,20,20,20,20,20,20,20,20,20,20,20,20
33,15,0,50,3000,37500,20,0,3,"Beruhigung eines Aggressors","Ein aggressives Individuum namens „Der gridanische Schlangenjünger“ belästigt redliche Händler und Handwerker. Der Befehl lautet: Den Störenfried zur Räson bringen, notfalls mit Gewalt!",14954,14954,14954,14954,14954,14954,10,10,10,10,10,10,590,590,430,275,430,295,20,20,20,20,20,20,430,305,620,620,295,430,20,20,20,20,20,20,305,430,275,430,600,600,20,20,20,20,20,20,20,20,20,20,20,20
34,17,19,50,5000,40000,0,0,2,"★ Eliminierung einer Eliteeinheit","Spione berichten, dass sich eine garleische Eliteeinheit <Switch(IntegerParameter(1))><Case(1)>im östlichen La Noscea</Case><Case(2)>im Ostwald</Case><Case(3)>im nördlichen Thanalan</Case></Switch> eingegraben hat und Störaktionen vorbereitet. Der Befehl lautet: Schalte die garleische Eliteeinheit aus - schnell!",0,0,0,0,0,0,0,0,0,0,0,0,370,370,370,370,370,370,0,0,0,0,0,0,355,355,355,355,355,355,0,0,0,0,0,0,345,345,345,345,345,345,0,0,0,0,0,0,100,100,100,100,100,100
